Model,R2,MSE,MAE
Linear Regression,1.0,2.4403699066573713e-31,4.145989107584569e-16
Baseline (stress_lag1),0.7939221676567609,0.24943058090920828,0.405776818455719
Random Forest,0.7736534785119936,0.27396320943194474,0.4056308447817387
SVR (RBF),0.6307313744586832,0.44695194399611193,0.5257768388701292
