model,activation,hidden_dims,val_year,r2,mse,mae
baseline,na,na,2020,0.7278571711837595,45.93818181818182,5.10909090909091
mlp,elu,64x32,2020,0.5429278990020563,77.15456391408271,6.699695873260499
mlp,elu,32,2020,0.5038552438141848,83.7500959218416,7.118019229715521
mlp,tanh,16,2020,0.5013953040057633,84.1653380308202,7.109381580352784
mlp,elu,16,2020,0.5009725142155426,84.23670568117686,7.100941207192162
mlp,tanh,64,2020,0.49098464563482846,85.92267523191876,7.357669856331565
mlp,elu,64,2020,0.4807129463596157,87.65655589649079,7.415634276650169
mlp,sigmoid,32,2020,0.4783091016535991,88.06232905482828,7.072109551863236
mlp,gelu,16,2020,0.46276728555130786,90.68581458629487,7.175256841832941
mlp,tanh,32,2020,0.4619914242778228,90.81678131579525,7.86985017494722
mlp,sigmoid,16,2020,0.455660216056321,91.88550025163208,7.473484021967107
mlp,relu,16,2020,0.4480369161991907,93.17232649803609,7.349964826757259
mlp,sigmoid,64,2020,0.4305926549921053,96.11694806495619,7.854727311567825
mlp,mish,64x32,2020,0.4102815476182561,99.54549824034414,8.02532762180675
mlp,elu,32x16,2020,0.3957607095840111,101.99664090197915,8.15041150938381
mlp,mish,32x16,2020,0.39534786481164474,102.06632981606204,8.240981015292082
mlp,mish,32,2020,0.3628506574342184,107.55191482148358,8.323115652257744
mlp,mish,16,2020,0.3506042673913128,109.6191267147914,8.349953027205034
mlp,gelu,32x16,2020,0.3202915358412721,114.73596840931121,8.09064225283536
mlp,leaky_relu,32,2020,0.3037490067756935,117.52837602575529,8.643078370527787
mlp,mish,64,2020,0.2879666649164847,120.19246272243099,8.776728612726385
mlp,sigmoid,32x16,2020,0.26131005891060066,124.69214407975528,9.660019813884388
mlp,gelu,32,2020,0.2444093588839631,127.54501157604514,8.991107472506437
mlp,relu,64,2020,0.24308352995166582,127.76881380084234,8.911020556363193
mlp,gelu,64,2020,0.20601443407572506,134.02614151949564,9.090576206554065
mlp,leaky_relu,64,2020,0.19566272124774342,135.77352861064153,9.153138750249688
mlp,leaky_relu,16,2020,0.17985091524306285,138.44258890620898,9.70652640949596
mlp,relu,32x16,2020,0.16777298168443489,140.48136505260825,9.46115252754905
mlp,tanh,32x16,2020,0.14632999659990598,144.10097814997482,9.776736523888328
mlp,sigmoid,64x32,2020,0.08011776270447835,155.27771814531735,9.802456118843772
mlp,leaky_relu,32x16,2020,0.001016444858454868,168.63015788100503,10.861206834966485
mlp,tanh,64x32,2020,-0.038634878006535756,175.3233699969609,10.73522938381542
mlp,relu,64x32,2020,-0.12566112442750854,190.01355143010827,11.429567094282671
mlp,relu,32,2020,-0.1266621888388486,190.182532840127,11.14052488153631
mlp,gelu,64x32,2020,-0.15118998479025025,194.32286736562565,10.878530953147195
mlp,leaky_relu,64x32,2020,-0.19829420461230307,202.27414142271348,11.561300086975097
