frequency,model,architecture,r2,mse,mae
daily,baseline,lag1,0.9999989242590442,0.00016645809875890505,0.00726651305683562
daily,nn,32,-30.630327792519566,4894.416447902295,40.236837303826306
monthly,baseline,lag1,0.9989612330415726,0.16142255892253288,0.22922979797978174
monthly,nn,32x16,-3.6832763921208187,727.772916941923,23.428751881798785
yearly,baseline,lag1,0.7278571711837595,45.93818181818182,5.10909090909091
yearly,nn,32x16,-3.5842759635327273,773.8337388257486,24.310890658877113
