Model,R2,MSE,MAE
Baseline (poverty_lag1),0.7278571711837595,45.93818181818182,5.10909090909091
SVR (RBF),0.392743952789948,102.50587468451059,8.312131735300575
Random Forest,0.36495425489470645,107.19682391928156,8.15236997368162
Decision Tree,0.23178011053123282,129.67685061651622,8.755194805194806
Linear Regression,-0.2701609434139425,214.40537165982815,11.773671726427505
