variable,variable_label,value,value_label
c29_6_1,Complete secondary school Transportation Mode,6,Horse/donkey
c29_6_1,Complete secondary school Transportation Mode,7,Bicycle
c29_6_1,Complete secondary school Transportation Mode,8,Walking
c29_6_1,Complete secondary school Transportation Mode,Sysmiss,
c29_7_1,Primary general school Transportation Mode,1,Cars
c29_7_1,Primary general school Transportation Mode,2,Minivan/Buses
c29_7_1,Primary general school Transportation Mode,3,Taxi
c29_7_1,Primary general school Transportation Mode,4,Train
c29_7_1,Primary general school Transportation Mode,5,Carts
c29_7_1,Primary general school Transportation Mode,6,Horse/donkey
c29_7_1,Primary general school Transportation Mode,7,Horse/donkey
c29_7_1,Primary general school Transportation Mode,8,Walking
c29_7_1,Primary general school Transportation Mode,Sysmiss,
c29_7_3,Primary general school Duration (minutes),3,
c29_7_3,Primary general school Duration (minutes),5,
c29_7_3,Primary general school Duration (minutes),6,
c29_7_3,Primary general school Duration (minutes),7,
c29_7_3,Primary general school Duration (minutes),8,
c29_7_3,Primary general school Duration (minutes),9,
c29_7_3,Primary general school Duration (minutes),10,
c29_7_3,Primary general school Duration (minutes),12,
c29_7_3,Primary general school Duration (minutes),13,
c29_7_3,Primary general school Duration (minutes),14,
c29_7_3,Primary general school Duration (minutes),15,
c29_7_3,Primary general school Duration (minutes),16,
c29_7_3,Primary general school Duration (minutes),20,
c29_7_3,Primary general school Duration (minutes),Sysmiss,
c29_8_1,Markets to sell your produce Transportation Mode,1,Cars
c29_8_1,Markets to sell your produce Transportation Mode,2,Minivan/Buses
c29_8_1,Markets to sell your produce Transportation Mode,3,Taxi
c29_8_1,Markets to sell your produce Transportation Mode,4,Train
c29_8_1,Markets to sell your produce Transportation Mode,5,Carts
c29_8_1,Markets to sell your produce Transportation Mode,6,Horse/donkey
c29_8_1,Markets to sell your produce Transportation Mode,7,Bicycle
c29_8_1,Markets to sell your produce Transportation Mode,8,Walking
c29_8_1,Markets to sell your produce Transportation Mode,Sysmiss,
c29_9_1,Bank/Financial Services Transportation Mode,1,Cars
c29_9_1,Bank/Financial Services Transportation Mode,2,Minivan/Buses
c29_9_1,Bank/Financial Services Transportation Mode,3,Taxi
c29_9_1,Bank/Financial Services Transportation Mode,4,Train
c29_9_1,Bank/Financial Services Transportation Mode,5,Carts
c29_9_1,Bank/Financial Services Transportation Mode,6,Horse/donkey
c29_9_1,Bank/Financial Services Transportation Mode,7,Bicycle
c29_9_1,Bank/Financial Services Transportation Mode,8,Walking
c29_9_1,Bank/Financial Services Transportation Mode,Sysmiss,
c30_1_1,Estimation of  the quality of roads within your settlement or community-Poor,1,
c30_1_1,Estimation of  the quality of roads within your settlement or community-Poor,Sysmiss,
c30_1_2,Estimation of  the quality of roads within your settlement or community-Average,1,
c30_1_2,Estimation of  the quality of roads within your settlement or community-Average,Sysmiss,
c30_1_3,Estimation of  the quality of roads within your settlement or community-Good,1,
c30_1_3,Estimation of  the quality of roads within your settlement or community-Good,Sysmiss,
c30_1_4,Estimation of  the quality of roads within your settlement or community-Excellent,1,
c30_1_4,Estimation of  the quality of roads within your settlement or community-Excellent,Sysmiss,
c30_2_1,Estimation of  the quality of  roads to regional towns or markets-Poor,1,
c30_2_1,Estimation of  the quality of  roads to regional towns or markets-Poor,Sysmiss,
c30_2_2,Estimation of  the quality of roads to regional towns or markets-Average,1,
c30_2_2,Estimation of  the quality of roads to regional towns or markets-Average,Sysmiss,
c30_2_3,Estimation of  the quality of roads to regional towns or markets-Good,1,
c30_2_3,Estimation of  the quality of roads to regional towns or markets-Good,Sysmiss,
c30_2_4,Estimation of  the quality of roads to regional towns or markets-Excellent,1,
c30_2_4,Estimation of  the quality of roads to regional towns or markets-Excellent,Sysmiss,
c30_3_1,"Estimation of  the quality of buses, minivans, and any other available transportation services:-Poor",1,
c30_3_1,"Estimation of  the quality of buses, minivans, and any other available transportation services:-Poor",Sysmiss,
c30_3_2,"Estimation of  the quality of buses, minivans, and any other available transportation services:-Average",1,
c30_3_2,"Estimation of  the quality of buses, minivans, and any other available transportation services:-Average",Sysmiss,
c30_3_3,"Estimation of  the quality of buses, minivans, and any other available transportation services:-Good",1,
c30_3_3,"Estimation of  the quality of buses, minivans, and any other available transportation services:-Good",Sysmiss,
c30_3_4,"Estimation of  the quality of buses, minivans, and any other available transportation services:-Excellent",Sysmiss,
f1q,Does any member of the household own or work on the land (including back yards and the summer-house plots),1,yes
f1q,Does any member of the household own or work on the land (including back yards and the summer-house plots),2,no
f3_1q,Why the household doesn`t use his land?  (-Too far from the village),1,
f3_1q,Why the household doesn`t use his land?  (-Too far from the village),Sysmiss,
f3_2q,Why the household doesn`t use his land? (-Land is of very poor quality),1,
f3_2q,Why the household doesn`t use his land? (-Land is of very poor quality),Sysmiss,
f3_3q,Why the household doesn`t use his land? (-No irrigation available),1,
f3_3q,Why the household doesn`t use his land? (-No irrigation available),Sysmiss,
f3_4q,Why the household doesn`t use his land? (-Not profitable to cultivate),1,
f3_4q,Why the household doesn`t use his land? (-Not profitable to cultivate),Sysmiss,
f3_5q,Why the household doesn`t use his land? (-Cannot get necessary inputs),1,
f3_5q,Why the household doesn`t use his land? (-Cannot get necessary inputs),Sysmiss,
f3_6q,Why the household doesn`t use his land? (-Im not in good health or too old),1,
f3_6q,Why the household doesn`t use his land? (-Im not in good health or too old),Sysmiss,
f3_7q,Why the household doesn`t use his land? (-Other),1,
f3_7q,Why the household doesn`t use his land? (-Other),Sysmiss,
f4q,"During the past year, was any farming or irrigation training offered in your community or nearby communities?",1,Yes
f4q,"During the past year, was any farming or irrigation training offered in your community or nearby communities?",2,No
f4q,"During the past year, was any farming or irrigation training offered in your community or nearby communities?",3,Dont know
f4q,"During the past year, was any farming or irrigation training offered in your community or nearby communities?",Sysmiss,
f5q,Did you attend any of the trainings?,1,yes
f5q,Did you attend any of the trainings?,2,no
f5q,Did you attend any of the trainings?,Sysmiss,
f6_4_1q,How much of your land did you water through the Irrigation water and wells or other drinking water /(Kitchen plot),Sysmiss,
f6_4_2q,How much of your land did you water through the Irrigation water and wells or other drinking water /(Other plots),Sysmiss,
f6_6_2q,Other associations of watering sourses /(Other plots),Sysmiss,
f7q,Is the household a member of a water users company?,1,yes
f7q,Is the household a member of a water users company?,2,no
f7q,Is the household a member of a water users company?,Sysmiss,
f8q,"If not, please specify why?",1,There is no similar company in our village
f8q,"If not, please specify why?",2,I did not want to join the company
f8q,"If not, please specify why?",3,Other
f8q,"If not, please specify why?",Sysmiss,
f9q,Did you get enough irrigation water on time?,1,"yes, enough and timely"
f9q,Did you get enough irrigation water on time?,2,"enough, but not timely"
f9q,Did you get enough irrigation water on time?,3,"timely, but not enough"
f9q,Did you get enough irrigation water on time?,4,not timely and not enough
f9q,Did you get enough irrigation water on time?,5,no
f9q,Did you get enough irrigation water on time?,Sysmiss,
f10_1q,"If the household has an interruption in the supply of irrigation water, what is the reasons were?",1,Pump accidents
f10_1q,"If the household has an interruption in the supply of irrigation water, what is the reasons were?",2,The poor condition of the pipes
f10_1q,"If the household has an interruption in the supply of irrigation water, what is the reasons were?",3,Failure to pay
f10_1q,"If the household has an interruption in the supply of irrigation water, what is the reasons were?",4,No inter-community supply schedule
f10_1q,"If the household has an interruption in the supply of irrigation water, what is the reasons were?",5,Arbitrary approach by the system representatives
f10_1q,"If the household has an interruption in the supply of irrigation water, what is the reasons were?",6,Local system issues
f10_1q,"If the household has an interruption in the supply of irrigation water, what is the reasons were?",7,other
f10_1q,"If the household has an interruption in the supply of irrigation water, what is the reasons were?",Sysmiss,
f10_2q,"If  the household has an interruption in the supply of irrigation water, what is the reasons were?",1,Pump accidents
f10_2q,"If  the household has an interruption in the supply of irrigation water, what is the reasons were?",2,The poor condition of the pipes
f10_2q,"If  the household has an interruption in the supply of irrigation water, what is the reasons were?",3,Failure to pay
f10_2q,"If  the household has an interruption in the supply of irrigation water, what is the reasons were?",4,No inter-community supply schedule
f10_2q,"If  the household has an interruption in the supply of irrigation water, what is the reasons were?",5,Arbitrary approach by the system representatives
f10_2q,"If  the household has an interruption in the supply of irrigation water, what is the reasons were?",6,Local system issues
f10_2q,"If  the household has an interruption in the supply of irrigation water, what is the reasons were?",7,other
f10_2q,"If  the household has an interruption in the supply of irrigation water, what is the reasons were?",Sysmiss,
f10_3q,"If  the household has an interruption in the supply of irrigation water, what is the reasons were?",1,Pump accidents
f10_3q,"If  the household has an interruption in the supply of irrigation water, what is the reasons were?",2,The poor condition of the pipes
f10_3q,"If  the household has an interruption in the supply of irrigation water, what is the reasons were?",3,Failure to pay
f10_3q,"If  the household has an interruption in the supply of irrigation water, what is the reasons were?",4,No inter-community supply schedule
f10_3q,"If  the household has an interruption in the supply of irrigation water, what is the reasons were?",5,Arbitrary approach by the system representatives
f10_3q,"If  the household has an interruption in the supply of irrigation water, what is the reasons were?",6,Local system issues
f10_3q,"If  the household has an interruption in the supply of irrigation water, what is the reasons were?",7,other
f10_3q,"If  the household has an interruption in the supply of irrigation water, what is the reasons were?",Sysmiss,
f11q,Did the household pay for irrigation water?,1,Yes
f11q,Did the household pay for irrigation water?,2,Partially
f11q,Did the household pay for irrigation water?,3,No
f11q,Did the household pay for irrigation water?,Sysmiss,
f12_1q,Why the household did not pay fully or paid partially,1,Incorrect fee estimates
f12_1q,Why the household did not pay fully or paid partially,2,Insufficient water supply
f12_1q,Why the household did not pay fully or paid partially,3,Not timely supply
f12_1q,Why the household did not pay fully or paid partially,4,Lack of confidence in supplier
f12_1q,Why the household did not pay fully or paid partially,5,Lack of funds
f12_1q,Why the household did not pay fully or paid partially,6,other
f12_1q,Why the household did not pay fully or paid partially,Sysmiss,
f12_2q,Why the household did not pay fully or paid partially,1,Incorrect fee estimates
f12_2q,Why the household did not pay fully or paid partially,2,Insufficient water supply
f12_2q,Why the household did not pay fully or paid partially,3,Not timely supply
f12_2q,Why the household did not pay fully or paid partially,4,Lack of confidence in supplier
f12_2q,Why the household did not pay fully or paid partially,5,Lack of funds
f12_2q,Why the household did not pay fully or paid partially,6,other
f12_2q,Why the household did not pay fully or paid partially,Sysmiss,
f12_3q,Why the household did not pay fully or paid partially,1,Incorrect fee estimates
f12_3q,Why the household did not pay fully or paid partially,2,Insufficient water supply
f12_3q,Why the household did not pay fully or paid partially,3,Not timely supply
f12_3q,Why the household did not pay fully or paid partially,4,Lack of confidence in supplier
f12_3q,Why the household did not pay fully or paid partially,5,Lack of funds
f12_3q,Why the household did not pay fully or paid partially,6,other
f12_3q,Why the household did not pay fully or paid partially,Sysmiss,
f13q,Did the household  find that the operation of it`s irrigation system changed compared to 2015?,1,Yes
f13q,Did the household  find that the operation of it`s irrigation system changed compared to 2015?,2,No
f13q,Did the household  find that the operation of it`s irrigation system changed compared to 2015?,Sysmiss,
f14q,In what way did it change?,1,Improved significantly
f14q,In what way did it change?,2,Improved some
f14q,In what way did it change?,3,Worsened some
f14q,In what way did it change?,4,Worsened significantly
f14q,In what way did it change?,Sysmiss,
f15q,Did the area of land you irrigated in 2015 change compare to 2011?,1,Yes
f15q,Did the area of land you irrigated in 2015 change compare to 2011?,2,No
f15q,Did the area of land you irrigated in 2015 change compare to 2011?,Sysmiss,
f16q,In what way did it change?,1,Enlarged significantly
f16q,In what way did it change?,2,Enlarged to some extent
f16q,In what way did it change?,3,Somewhat reduced
f16q,In what way did it change?,4,Significantly reduced
f16q,In what way did it change?,Sysmiss,
f1_1a,"ID number of the household member, who take part in this activities",1,
f1_1a,"ID number of the household member, who take part in this activities",2,
f1_1a,"ID number of the household member, who take part in this activities",3,
f1_1a,"ID number of the household member, who take part in this activities",4,
f1_1a,"ID number of the household member, who take part in this activities",5,
f1_1a,"ID number of the household member, who take part in this activities",Sysmiss,
f1_2a,"ID number of the household member, who take part in this activities",1,
f1_2a,"ID number of the household member, who take part in this activities",2,
f1_2a,"ID number of the household member, who take part in this activities",3,
f1_2a,"ID number of the household member, who take part in this activities",4,
f1_2a,"ID number of the household member, who take part in this activities",5,
f1_2a,"ID number of the household member, who take part in this activities",6,
f1_2a,"ID number of the household member, who take part in this activities",7,
f1_2a,"ID number of the household member, who take part in this activities",8,
f1_2a,"ID number of the household member, who take part in this activities",9,
f1_2a,"ID number of the household member, who take part in this activities",Sysmiss,
f1_3a,"ID number of the household member, who take part in this activities",1,
f1_3a,"ID number of the household member, who take part in this activities",2,
f1_3a,"ID number of the household member, who take part in this activities",3,
f1_3a,"ID number of the household member, who take part in this activities",4,
f1_3a,"ID number of the household member, who take part in this activities",5,
f1_3a,"ID number of the household member, who take part in this activities",6,
f1_3a,"ID number of the household member, who take part in this activities",7,
f1_3a,"ID number of the household member, who take part in this activities",Sysmiss,
f1_4a,"ID number of the household member, who take part in this activities",1,
f1_4a,"ID number of the household member, who take part in this activities",4,
f1_4a,"ID number of the household member, who take part in this activities",5,
f1_4a,"ID number of the household member, who take part in this activities",6,
f1_4a,"ID number of the household member, who take part in this activities",7,
f1_4a,"ID number of the household member, who take part in this activities",10,
f1_4a,"ID number of the household member, who take part in this activities",Sysmiss,
f1_5a,"ID number of the household member, who take part in this activities",5,
f1_5a,"ID number of the household member, who take part in this activities",6,
f1_5a,"ID number of the household member, who take part in this activities",8,
f1_5a,"ID number of the household member, who take part in this activities",12,
f1_5a,"ID number of the household member, who take part in this activities",Sysmiss,
f17q,Is the household engaged in cattle breeding??,1,Yes
f17q,Is the household engaged in cattle breeding??,2,No
f2_1a,"ID number of the household member, who take part in this activities",1,
f2_1a,"ID number of the household member, who take part in this activities",2,
f2_1a,"ID number of the household member, who take part in this activities",3,
f2_1a,"ID number of the household member, who take part in this activities",4,
f2_1a,"ID number of the household member, who take part in this activities",5,
f2_1a,"ID number of the household member, who take part in this activities",8,
f2_1a,"ID number of the household member, who take part in this activities",Sysmiss,
f2_2a,"ID number of the household member, who take part in this activities",1,
f2_2a,"ID number of the household member, who take part in this activities",2,
f2_2a,"ID number of the household member, who take part in this activities",3,
f2_2a,"ID number of the household member, who take part in this activities",4,
f2_2a,"ID number of the household member, who take part in this activities",5,
f2_2a,"ID number of the household member, who take part in this activities",6,
f2_2a,"ID number of the household member, who take part in this activities",Sysmiss,
f2_3a,"ID number of the household member, who take part in this activities",1,
f2_3a,"ID number of the household member, who take part in this activities",2,
f2_3a,"ID number of the household member, who take part in this activities",3,
f2_3a,"ID number of the household member, who take part in this activities",4,
f2_3a,"ID number of the household member, who take part in this activities",5,
f2_3a,"ID number of the household member, who take part in this activities",6,
f2_3a,"ID number of the household member, who take part in this activities",7,
f2_3a,"ID number of the household member, who take part in this activities",9,
f2_3a,"ID number of the household member, who take part in this activities",10,
f2_3a,"ID number of the household member, who take part in this activities",Sysmiss,
f2_4a,"ID number of the household member, who take part in this activities",3,
f2_4a,"ID number of the household member, who take part in this activities",4,
f2_4a,"ID number of the household member, who take part in this activities",5,
f2_4a,"ID number of the household member, who take part in this activities",6,
f2_4a,"ID number of the household member, who take part in this activities",7,
f2_4a,"ID number of the household member, who take part in this activities",12,
f2_4a,"ID number of the household member, who take part in this activities",Sysmiss,
f2_5a,"ID number of the household member, who take part in this activities",5,
f2_5a,"ID number of the household member, who take part in this activities",6,
f2_5a,"ID number of the household member, who take part in this activities",7,
f2_5a,"ID number of the household member, who take part in this activities",8,
f2_5a,"ID number of the household member, who take part in this activities",Sysmiss,
g1_1a,"ID number of the household member, who take part in this activities",1,
g1_1a,"ID number of the household member, who take part in this activities",2,
g1_1a,"ID number of the household member, who take part in this activities",3,
g1_1a,"ID number of the household member, who take part in this activities",4,
g1_1a,"ID number of the household member, who take part in this activities",5,
g1_1a,"ID number of the household member, who take part in this activities",6,
g1_1a,"ID number of the household member, who take part in this activities",8,
g1_1a,"ID number of the household member, who take part in this activities",Sysmiss,
g1_2a,"ID number of the household member, who take part in this activities",1,
g1_2a,"ID number of the household member, who take part in this activities",2,
g1_2a,"ID number of the household member, who take part in this activities",3,
g1_2a,"ID number of the household member, who take part in this activities",4,
g1_2a,"ID number of the household member, who take part in this activities",5,
g1_2a,"ID number of the household member, who take part in this activities",6,
g1_2a,"ID number of the household member, who take part in this activities",7,
g1_2a,"ID number of the household member, who take part in this activities",8,
g1_2a,"ID number of the household member, who take part in this activities",Sysmiss,
g1_3a,"ID number of the household member, who take part in this activities",1,
g1_3a,"ID number of the household member, who take part in this activities",2,
g1_3a,"ID number of the household member, who take part in this activities",3,
g1_3a,"ID number of the household member, who take part in this activities",4,
g1_3a,"ID number of the household member, who take part in this activities",5,
g1_3a,"ID number of the household member, who take part in this activities",6,
g1_3a,"ID number of the household member, who take part in this activities",7,
g1_3a,"ID number of the household member, who take part in this activities",8,
g1_3a,"ID number of the household member, who take part in this activities",9,
g1_3a,"ID number of the household member, who take part in this activities",10,
g1_3a,"ID number of the household member, who take part in this activities",Sysmiss,
g1_4a,"ID number of the household member, who take part in this activities",3,
g1_4a,"ID number of the household member, who take part in this activities",4,
g1_4a,"ID number of the household member, who take part in this activities",5,
g1_4a,"ID number of the household member, who take part in this activities",6,
g1_4a,"ID number of the household member, who take part in this activities",7,
g1_4a,"ID number of the household member, who take part in this activities",9,
g1_4a,"ID number of the household member, who take part in this activities",10,
g1_4a,"ID number of the household member, who take part in this activities",12,
g1_4a,"ID number of the household member, who take part in this activities",Sysmiss,
g1_5a,"ID number of the household member, who take part in this activities",5,
g1_5a,"ID number of the household member, who take part in this activities",6,
g1_5a,"ID number of the household member, who take part in this activities",7,
g1_5a,"ID number of the household member, who take part in this activities",8,
g1_5a,"ID number of the household member, who take part in this activities",Sysmiss,
f18_1q,Three  main difficulties of the household which was experienced during the last season?,1,lack of wholesale markets
f18_1q,Three  main difficulties of the household which was experienced during the last season?,2,paying irrigation fees
f18_1q,Three  main difficulties of the household which was experienced during the last season?,3,purchasing of agricultural techniques
f18_1q,Three  main difficulties of the household which was experienced during the last season?,4,acquisition of seeds or seedling
f18_1q,Three  main difficulties of the household which was experienced during the last season?,5,shortage of seeds
f18_1q,Three  main difficulties of the household which was experienced during the last season?,6,lack of work force
f18_1q,Three  main difficulties of the household which was experienced during the last season?,7,remuneration for work
f18_1q,Three  main difficulties of the household which was experienced during the last season?,8,transportation of products to the market
f18_1q,Three  main difficulties of the household which was experienced during the last season?,9,dealing with intermediary
f18_1q,Three  main difficulties of the household which was experienced during the last season?,10,sale of food products
f18_1q,Three  main difficulties of the household which was experienced during the last season?,11,other
f18_1q,Three  main difficulties of the household which was experienced during the last season?,12,did not experience
f18_1q,Three  main difficulties of the household which was experienced during the last season?,Sysmiss,
f18_2q,Three  main difficulties of the household which was experienced during the last season?,1,lack of wholesale markets
f18_2q,Three  main difficulties of the household which was experienced during the last season?,2,paying irrigation fees
f18_2q,Three  main difficulties of the household which was experienced during the last season?,3,purchasing of agricultural techniques
f18_2q,Three  main difficulties of the household which was experienced during the last season?,4,acquisition of seeds or seedling
f18_2q,Three  main difficulties of the household which was experienced during the last season?,5,shortage of seeds
f18_2q,Three  main difficulties of the household which was experienced during the last season?,6,lack of work force
f18_2q,Three  main difficulties of the household which was experienced during the last season?,7,remuneration for work
f18_2q,Three  main difficulties of the household which was experienced during the last season?,8,transportation of products to the market
f18_2q,Three  main difficulties of the household which was experienced during the last season?,9,dealing with intermediary
f18_2q,Three  main difficulties of the household which was experienced during the last season?,10,sale of food products
f18_2q,Three  main difficulties of the household which was experienced during the last season?,11,other
f18_2q,Three  main difficulties of the household which was experienced during the last season?,12,did not experience
f18_2q,Three  main difficulties of the household which was experienced during the last season?,Sysmiss,
f18_3q,Three  main difficulties of the household which was experienced during the last season?,1,lack of wholesale markets
f18_3q,Three  main difficulties of the household which was experienced during the last season?,2,paying irrigation fees
f18_3q,Three  main difficulties of the household which was experienced during the last season?,3,purchasing of agricultural techniques
f18_3q,Three  main difficulties of the household which was experienced during the last season?,4,acquisition of seeds or seedling
f18_3q,Three  main difficulties of the household which was experienced during the last season?,5,shortage of seeds
f18_3q,Three  main difficulties of the household which was experienced during the last season?,6,lack of work force
f18_3q,Three  main difficulties of the household which was experienced during the last season?,7,remuneration for work
f18_3q,Three  main difficulties of the household which was experienced during the last season?,8,transportation of products to the market
f18_3q,Three  main difficulties of the household which was experienced during the last season?,9,dealing with intermediary
f18_3q,Three  main difficulties of the household which was experienced during the last season?,10,sale of food products
f18_3q,Three  main difficulties of the household which was experienced during the last season?,11,other
f18_3q,Three  main difficulties of the household which was experienced during the last season?,12,did not experience
f18_3q,Three  main difficulties of the household which was experienced during the last season?,Sysmiss,
f19q,Did the household take credit or have debt for agricultural activities during  the last season?,1,yes
f19q,Did the household take credit or have debt for agricultural activities during  the last season?,2,no
f19q,Did the household take credit or have debt for agricultural activities during  the last season?,Sysmiss,
f21q,"If yes, from whom?",1,bank
f21q,"If yes, from whom?",2,governmental project
f21q,"If yes, from whom?",3,international organization
f21q,"If yes, from whom?",4,parents
f21q,"If yes, from whom?",5,friends or others
f21q,"If yes, from whom?",6,other
f21q,"If yes, from whom?",Sysmiss,
h1,Did the household send any money or goods to an absent household member or any other person during the last 12 months?,1,yes
h1,Did the household send any money or goods to an absent household member or any other person during the last 12 months?,2,no
h2,Did the household receive money or goods from an absent household member or any other person during the last 12 months?,1,yes
h2,Did the household receive money or goods from an absent household member or any other person during the last 12 months?,2,no
j1,Did any of household members lend money within the last 12 months?,1,
j1,Did any of household members lend money within the last 12 months?,2,
j1_1,To RA residents,1,
j1_1,To RA residents,Sysmiss,
j1_2,To RA non-residents,Sysmiss,
j2_2_1,how much  money was lent to RA non-residents (AMD)?,Sysmiss,
j2_2_2,how much  money was lent to RA non-residents (ruble)?,Sysmiss,
j2_2_3,how much  money was lent to RA non-residents (US$)?,Sysmiss,
j2_2_4,how much  money was lentto RA non-residents (euro)?,Sysmiss,
j3_2,To RA non-residents,Sysmiss,
j4,Did any of household members barrow money within the last 12 months?,1,
j4,Did any of household members barrow money within the last 12 months?,2,
j4_1,To RA residents,1,
j4_1,To RA residents,Sysmiss,
j4_2,To RA non-residents,2,
j4_2,To RA non-residents,Sysmiss,
j5_4,"Did any of household members  borrow money within the last 12, indicate the amount(euro)?",Sysmiss,
m1,Is the  family registered in the poverty family benefit system?,1,"yes, my f amily receives benefit"
m1,Is the  family registered in the poverty family benefit system?,2,"yes, but my family doesnt receive benefit"
m1,Is the  family registered in the poverty family benefit system?,3,"yes, my family receives non regular benefit"
m1,Is the  family registered in the poverty family benefit system?,4,no
m4,"If family receives emergency benefit during last 12 month, please specify for how many times you were entitled to?",1,
m4,"If family receives emergency benefit during last 12 month, please specify for how many times you were entitled to?",2,
m4,"If family receives emergency benefit during last 12 month, please specify for how many times you were entitled to?",3,
m4,"If family receives emergency benefit during last 12 month, please specify for how many times you were entitled to?",4,
m4,"If family receives emergency benefit during last 12 month, please specify for how many times you were entitled to?",99,
m4,"If family receives emergency benefit during last 12 month, please specify for how many times you were entitled to?",Sysmiss,
m2,"If no, what is the main reason?",1,I considered myself well-off
m2,"If no, what is the main reason?",2,I am well-provided
m2,"If no, what is the main reason?",3,I am not informed
m2,"If no, what is the main reason?",4,bad attitude of the social workers
m2,"If no, what is the main reason?",5,difficult to get required documents
m2,"If no, what is the main reason?",6,I have been rejected once
m2,"If no, what is the main reason?",7,other
m2,"If no, what is the main reason?",Sysmiss,
m3,"If family receives benefit, please specify for how many years you were entitled to?",1,
m3,"If family receives benefit, please specify for how many years you were entitled to?",2,
m3,"If family receives benefit, please specify for how many years you were entitled to?",3,
m3,"If family receives benefit, please specify for how many years you were entitled to?",4,
m3,"If family receives benefit, please specify for how many years you were entitled to?",5,
m3,"If family receives benefit, please specify for how many years you were entitled to?",6,
m3,"If family receives benefit, please specify for how many years you were entitled to?",7,
m3,"If family receives benefit, please specify for how many years you were entitled to?",8,
m3,"If family receives benefit, please specify for how many years you were entitled to?",9,
m3,"If family receives benefit, please specify for how many years you were entitled to?",10,
m3,"If family receives benefit, please specify for how many years you were entitled to?",11,
m3,"If family receives benefit, please specify for how many years you were entitled to?",12,
m3,"If family receives benefit, please specify for how many years you were entitled to?",13,
m3,"If family receives benefit, please specify for how many years you were entitled to?",14,
m3,"If family receives benefit, please specify for how many years you were entitled to?",15,
m3,"If family receives benefit, please specify for how many years you were entitled to?",16,
m3,"If family receives benefit, please specify for how many years you were entitled to?",17,
m3,"If family receives benefit, please specify for how many years you were entitled to?",18,
m3,"If family receives benefit, please specify for how many years you were entitled to?",19,
m3,"If family receives benefit, please specify for how many years you were entitled to?",20,
m3,"If family receives benefit, please specify for how many years you were entitled to?",22,
m3,"If family receives benefit, please specify for how many years you were entitled to?",Sysmiss,
m5,Were you informed about the reasons for the termination/refusal of the benefits?,1,"yes, verbally"
m5,Were you informed about the reasons for the termination/refusal of the benefits?,2,"yes, in written form"
m5,Were you informed about the reasons for the termination/refusal of the benefits?,3,no
m5,Were you informed about the reasons for the termination/refusal of the benefits?,4,difficult to answer
m5,Were you informed about the reasons for the termination/refusal of the benefits?,Sysmiss,
m6,Were the reasons for the termination/refusal of the benefits clear to household?,1,"yes, I accept the explanation"
m6,Were the reasons for the termination/refusal of the benefits clear to household?,2,"yes, but  appeal"
m6,Were the reasons for the termination/refusal of the benefits clear to household?,3,"no, I applied for further explanations"
m6,Were the reasons for the termination/refusal of the benefits clear to household?,4,difficult to answer
m6,Were the reasons for the termination/refusal of the benefits clear to household?,Sysmiss,
m7,Was it easy to collect the documentation necessary for the registration?,1,yes
m7,Was it easy to collect the documentation necessary for the registration?,2,not so easy
m7,Was it easy to collect the documentation necessary for the registration?,3,very difficult
m7,Was it easy to collect the documentation necessary for the registration?,Sysmiss,
m8,Did you pay for documents and certificates you were asked to provide?,1,yes
m8,Did you pay for documents and certificates you were asked to provide?,2,no
m8,Did you pay for documents and certificates you were asked to provide?,3,do not want to answer
m8,Did you pay for documents and certificates you were asked to provide?,Sysmiss,
m9,Were  you satisfied with the work of the regional social inspector?,1,"yes, I have received explanations to all my questions"
m9,Were  you satisfied with the work of the regional social inspector?,2,at some extent
m9,Were  you satisfied with the work of the regional social inspector?,3,no
m9,Were  you satisfied with the work of the regional social inspector?,4,difficult to answer
m9,Were  you satisfied with the work of the regional social inspector?,Sysmiss,
m10,Did  you  inform the SSM about changes in household taken place after the registration?,1,yes
m10,Did  you  inform the SSM about changes in household taken place after the registration?,2,no
m10,Did  you  inform the SSM about changes in household taken place after the registration?,3,there is no changes
m10,Did  you  inform the SSM about changes in household taken place after the registration?,Sysmiss,
m11,Do you consider that the poverty benefit system is justified?,1,yes
m11,Do you consider that the poverty benefit system is justified?,2,no
m11,Do you consider that the poverty benefit system is justified?,3,not sure
m11,Do you consider that the poverty benefit system is justified?,4,do not know
m12,In your  opinion what part of the families receiving assistance through the family benefit system are really vulnerable?,1,almost all
m12,In your  opinion what part of the families receiving assistance through the family benefit system are really vulnerable?,2,more than  a half
m12,In your  opinion what part of the families receiving assistance through the family benefit system are really vulnerable?,3,a half of them
m12,In your  opinion what part of the families receiving assistance through the family benefit system are really vulnerable?,4,less than a half
m12,In your  opinion what part of the families receiving assistance through the family benefit system are really vulnerable?,5,a few of them
m12,In your  opinion what part of the families receiving assistance through the family benefit system are really vulnerable?,6,do not know
m13,Did  you receive humanitarian assistance during the last 12 months?,1,yes
m13,Did  you receive humanitarian assistance during the last 12 months?,2,no
m14_1_1,Did  you  receive  the food,1,yes
m14_1_1,Did  you  receive  the food,2,no
m14_1_1,Did  you  receive  the food,Sysmiss,
m14_1_2,For how many times did  you receive the food,1,
m14_1_2,For how many times did  you receive the food,2,
m14_1_2,For how many times did  you receive the food,3,
m14_1_2,For how many times did  you receive the food,4,
m14_1_2,For how many times did  you receive the food,10,
m14_1_2,For how many times did  you receive the food,12,
m14_1_2,For how many times did  you receive the food,50,
m14_1_2,For how many times did  you receive the food,120,
m14_1_2,For how many times did  you receive the food,165,
