variable,variable_label
c29_4_3,Village office Duration (minutes)
c29_5_1,Kindergarten Transportation Mode
c29_5_2,Kindergarten Distance (km)
c29_5_3,Kindergarten Duration (minutes)
c29_6_1,Complete secondary school Transportation Mode
c29_6_2,Complete secondary school Distance (km)
c29_6_3,Complete secondary school Duration (minutes)
c29_7_1,Primary general school Transportation Mode
c29_7_2,Primary general school Distance (km)
c29_7_3,Primary general school Duration (minutes)
c29_8_1,Markets to sell your produce Transportation Mode
c29_8_2,Markets to sell your produce Distance (km)
c29_8_3,Markets to sell your produce Duration (minutes)
c29_9_1,Bank/Financial Services Transportation Mode
c29_9_2,Bank/Financial Services Distance (km)
c29_9_3,Bank/Financial Services Duration (minutes)
c30_1_1,Estimation of  the quality of roads within your settlement or community-Poor
c30_1_2,Estimation of  the quality of roads within your settlement or community-Average
c30_1_3,Estimation of  the quality of roads within your settlement or community-Good
c30_1_4,Estimation of  the quality of roads within your settlement or community-Excellent
c30_2_1,Estimation of  the quality of  roads to regional towns or markets-Poor
c30_2_2,Estimation of  the quality of roads to regional towns or markets-Average
c30_2_3,Estimation of  the quality of roads to regional towns or markets-Good
c30_2_4,Estimation of  the quality of roads to regional towns or markets-Excellent
c30_3_1,"Estimation of  the quality of buses, minivans, and any other available transportation services:-Poor"
c30_3_2,"Estimation of  the quality of buses, minivans, and any other available transportation services:-Average"
c30_3_3,"Estimation of  the quality of buses, minivans, and any other available transportation services:-Good"
c30_3_4,"Estimation of  the quality of buses, minivans, and any other available transportation services:-Excellent"
f1q,Does any member of the household own or work on the land (including back yards and the summer-house plots)
f2_1_1q,What is the total area of the own land of the household (Area in  sq.m)?
f2_1_2q,"What is the total area of the own land of the household(In fact used for crop production, sq.m)?"
f2_1_3q,"What is the total area of the own land of the household (In fact irrigated, sq.m)?"
f2_1_1_1q,What is the total area of the kitchen plot of the household (Area in  sq.m)?
f2_1_1_2q,"What is the total area of the kitchen plot of the household (In fact used for crop production, sq.m)?"
f2_1_1_3q,"What is the total area of the kitchen plot of the household (In fact irrigated, sq.m)?"
f2_2_1q,What is the total area rented or other cultivated land (Area in  sq.m)
f2_2_2q,"What is the total area rented or other cultivated land (In fact used for crop production, sq.m)"
f2_2_3q,"What is the total area rented or other cultivated land (In fact irrigated, sq.m)"
f3_1q,Why the household doesn`t use his land?  (-Too far from the village)
f3_2q,Why the household doesn`t use his land? (-Land is of very poor quality)
f3_3q,Why the household doesn`t use his land? (-No irrigation available)
f3_4q,Why the household doesn`t use his land? (-Not profitable to cultivate)
f3_5q,Why the household doesn`t use his land? (-Cannot get necessary inputs)
f3_6q,Why the household doesn`t use his land? (-Im not in good health or too old)
f3_7q,Why the household doesn`t use his land? (-Other)
f4q,"During the past year, was any farming or irrigation training offered in your community or nearby communities?"
f5q,Did you attend any of the trainings?
f6_1_1q,How much of your land did you watering  through the Iirrigation system (canal)  /(Kitchen plot)
f6_1_2q,How much of your land did you water through the the Iirrigation system (canal) /(Other plots)
f6_2_1q,How much of your land did you water through the Deep  or other well or  drinking water /(Kitchen plot)
f6_2_2q,How much of your land did you water through the Deep  or other well or  drinking water /(Other plots)
f6_3_1q,"How much of your land did you water through the Exclusively natural sources, rivers/ rain water  /(Kitchen plot)"
f6_3_2q,"How much of your land did you water through the Exclusively natural sources, rivers/ rain water /(Other plots)"
f6_4_1q,How much of your land did you water through the Irrigation water and wells or other drinking water /(Kitchen plot)
f6_4_2q,How much of your land did you water through the Irrigation water and wells or other drinking water /(Other plots)
f6_5_1q,"How much of your land did you water through the Irrigation and natural sources, rivers/rain water /(Kitchen plot)"
f6_5_2q,"How much of your land did you water through the Irrigation and natural sources, rivers/rain water /(Other plots)"
f6_6_1q,Other associations of watering sourses /(Kitchen plot)
f6_6_2q,Other associations of watering sourses /(Other plots)
f6_7_1q,"Collect rain water, thaw water    /(Kitchen plot )"
f6_7_2q,"Collect rain water, thaw water  /(Other plots)"
f6_8_1q,Only rain water  /(Kitchen plot )
f6_8_2q,Only rain water  /(Other plots)
f7q,Is the household a member of a water users company?
f8q,"If not, please specify why?"
f9q,Did you get enough irrigation water on time?
f10_1q,"If the household has an interruption in the supply of irrigation water, what is the reasons were?"
f10_2q,"If  the household has an interruption in the supply of irrigation water, what is the reasons were?"
f10_3q,"If  the household has an interruption in the supply of irrigation water, what is the reasons were?"
f11q,Did the household pay for irrigation water?
f12_1q,Why the household did not pay fully or paid partially
f12_2q,Why the household did not pay fully or paid partially
f12_3q,Why the household did not pay fully or paid partially
f13q,Did the household  find that the operation of it`s irrigation system changed compared to 2015?
f14q,In what way did it change?
f15q,Did the area of land you irrigated in 2015 change compare to 2011?
f16q,In what way did it change?
f1_1a,"ID number of the household member, who take part in this activities"
f1_2a,"ID number of the household member, who take part in this activities"
f1_3a,"ID number of the household member, who take part in this activities"
f1_4a,"ID number of the household member, who take part in this activities"
f1_5a,"ID number of the household member, who take part in this activities"
f17q,Is the household engaged in cattle breeding??
f2_1a,"ID number of the household member, who take part in this activities"
f2_2a,"ID number of the household member, who take part in this activities"
f2_3a,"ID number of the household member, who take part in this activities"
f2_4a,"ID number of the household member, who take part in this activities"
f2_5a,"ID number of the household member, who take part in this activities"
g1_1a,"ID number of the household member, who take part in this activities"
g1_2a,"ID number of the household member, who take part in this activities"
g1_3a,"ID number of the household member, who take part in this activities"
g1_4a,"ID number of the household member, who take part in this activities"
g1_5a,"ID number of the household member, who take part in this activities"
f18_1q,Three  main difficulties of the household which was experienced during the last season?
f18_2q,Three  main difficulties of the household which was experienced during the last season?
f18_3q,Three  main difficulties of the household which was experienced during the last season?
f19q,Did the household take credit or have debt for agricultural activities during  the last season?
f20q,"If yes, how much? (AMD)"
f21q,"If yes, from whom?"
h1,Did the household send any money or goods to an absent household member or any other person during the last 12 months?
h2,Did the household receive money or goods from an absent household member or any other person during the last 12 months?
j1,Did any of household members lend money within the last 12 months?
j1_1,To RA residents
j1_2,To RA non-residents
j2_1_1,how much  money was lent to RA residents (AMD)?
j2_1_2,how much  money was lent to RA residents (ruble)?
j2_1_3,how much  money was lent to RA residents (US$)?
j2_1_4,how much  money was lentto RA residents (euro)?
j2_2_1,how much  money was lent to RA non-residents (AMD)?
j2_2_2,how much  money was lent to RA non-residents (ruble)?
j2_2_3,how much  money was lent to RA non-residents (US$)?
j2_2_4,how much  money was lentto RA non-residents (euro)?
j3,How much debt does your family have at the moment ?
j3_1,To RA residents
j3_2,To RA non-residents
j4,Did any of household members barrow money within the last 12 months?
j4_1,To RA residents
j4_2,To RA non-residents
j5_1,"Did any of household members  borrow money within the last 12, indicate the amount(AMD)?"
j5_2,"Did any of household members  borrow money within the last 12, indicate the amount(ruble)?"
j5_3,"Did any of household members  borrow money within the last 12, indicate the amount(US$)?"
j5_4,"Did any of household members  borrow money within the last 12, indicate the amount(euro)?"
m1,Is the  family registered in the poverty family benefit system?
m4,"If family receives emergency benefit during last 12 month, please specify for how many times you were entitled to?"
m2,"If no, what is the main reason?"
