Unnamed: 0,Poor population,Extremely poor population,Non-poor population
Shirak Marz,42.9,2.2,57.1
Syunik Marz,6.1,0.0,93.9
Vayots Dzor Marz,21.9,0.0,78.1
Tavush Marz,37.5,0.7,62.5
2021,,,
National average,26.5,1.5,73.5
Yerevan city,15.9,0.2,84.1
Aragatsotn Marz,13.5,0.0,86.5
Ararat Marz,28.0,1.0,72.0
Armavir Marz,37.9,4.0,62.1
Gegharkunik Marz,49.1,4.7,50.9
Lori Marz,21.8,0.2,78.2
Kotayk Marz,23.6,2.0,76.4
Shirak Marz,46.9,3.1,53.1
Syunik Marz,2.8,0.0,97.2
Vayots Dzor Marz,26.6,0.0,73.4
Tavush Marz,38.2,1.3,61.8
2022,,,
National average,24.8,1.2,75.2
Yerevan city,18.5,0.2,81.5
Aragatsotn Marz,7.9,0.0,92.1
Ararat Marz,23.8,1.0,76.2
Armavir Marz,40.8,4.0,59.2
Gegharkunik Marz,33.9,4.7,66.1
Lori Marz,18.6,0.2,81.4
Kotayk Marz,26.1,2.0,73.9
Shirak Marz,41.6,3.1,58.4
Syunik Marz,5.4,0.0,94.6
Vayots Dzor Marz,15.7,0.0,84.3
Tavush Marz,37.4,1.3,62.6
2023,,,
National average,23.7,1.1,76.3
Yerevan city,17.9,0.2,82.1
Aragatsotn Marz,9.2,0.0,90.8
Ararat Marz,30.3,1.8,69.7
Armavir Marz,25.9,1.6,74.1
Gegharkunik Marz,35.4,3.1,64.6
Lori Marz,14.2,0.3,85.8
Kotayk Marz,23.2,0.0,76.8
Shirak Marz,43.1,4.0,56.9
Syunik Marz,7.0,0.0,93.0
Vayots Dzor Marz,30.9,0.4,69.1
Tavush Marz,37.2,2.6,62.8
2024,,,
National average,21.7,0.6,78.3
Yerevan city,16.9,0.4,83.1
Aragatsotn Marz,7.6,0.0,92.4
Ararat Marz,15.7,0.0,84.3
Armavir Marz,27.0,0.6,73.0
Gegharkunik Marz,27.6,0.4,72.4
Lori Marz,20.4,1.0,79.6
Kotayk Marz,24.8,0.3,75.2
Shirak Marz,43.0,2.4,57.0
Syunik Marz,6.2,0.0,93.8
Vayots Dzor Marz,30.3,0.0,69.7
Tavush Marz,39.9,2.0,60.1
