"recno","date","day","x4_1","x4_2","x4_3","x4_4","x4_5","x4_3drm"
6,1,12,2157,2,800,1,1,800
6,1,17,4183,,800,1,6,800
6,1,12,3503,1,720,1,1,720
6,1,24,4022,,700,1,6,700
6,1,17,4161,,600,1,6,600
6,1,27,4481,,600,1,6,600
6,1,28,4481,,600,1,6,600
6,1,21,3501,3,520,1,1,520
6,1,26,2223,10,500,1,1,500
6,1,12,3523,1,460,1,1,460
6,1,21,3512,3,450,1,1,450
6,1,16,4481,,400,1,6,400
6,1,12,3506,1,310,1,1,310
6,1,26,2790,1,260,1,1,260
6,1,26,3512,1,260,1,1,260
7,1,23,4211,,11150,1,5,11150
7,1,23,4221,,6000,1,5,6000
7,1,23,4623,,3500,1,5,3500
7,1,15,2826,,2500,1,6,2500
7,1,27,5024,,2000,1,6,2000
7,1,28,5011,,1500,1,6,1500
7,1,17,3503,1,1250,1,1,1250
7,1,17,3526,1,1100,1,1,1100
7,1,28,4491,,1000,1,6,1000
7,1,21,2157,1,800,1,1,800
7,1,28,2785,1,510,1,1,510
7,1,23,4151,,400,1,5,400
7,1,21,3511,1,380,1,1,380
7,1,28,3512,2,300,1,1,300
7,1,14,2790,1,290,1,1,290
7,1,14,2789,1,260,1,1,260
7,1,17,3501,1,260,1,1,260
7,1,21,3512,1,240,1,1,240
7,1,14,2773,1,200,1,1,200
7,1,21,3529,1,200,1,1,200
7,1,14,2810,1,120,1,1,120
8,1,21,4211,,15500,1,5,15500
8,1,3,2072,30,9000,1,1,9000
8,1,21,4221,,8750,1,5,8750
8,1,19,2148,1,8500,1,1,8500
8,1,30,2154,1,5500,1,1,5500
8,1,17,4623,,4000,1,5,4000
8,1,30,3553,1,3800,1,1,3800
8,1,17,4622,,3500,1,5,3500
8,1,30,2212,1,2000,1,1,2000
8,1,21,4151,,1500,1,5,1500
8,1,2,3514,1,1150,1,1,1150
8,1,21,4613,,1100,1,5,1100
8,1,23,3503,1,1050,1,1,1050
8,1,21,4183,,1000,1,6,1000
8,1,2,4481,1,1000,1,6,1000
8,1,3,5001,,1000,1,6,1000
8,1,19,5011,,1000,1,6,1000
8,1,27,4022,,700,1,6,700
8,1,23,2133,2,600,1,1,600
8,1,1,2784,1,600,1,1,600
8,1,14,2785,1,550,1,1,550
8,1,2,3502,3,500,1,1,500
8,1,2,3477,1,480,1,1,480
8,1,1,3512,3,450,1,1,450
8,1,23,3523,1,450,1,1,450
8,1,13,4481,,400,1,6,400
8,1,19,4481,,400,1,6,400
8,1,15,4483,,400,1,6,400
8,1,24,4483,,400,1,6,400
8,1,1,2790,1,320,1,1,320
8,1,2,3508,1,300,1,1,300
8,1,14,2816,1,280,1,1,280
8,1,23,3511,1,280,1,1,280
8,1,1,3527,1,280,1,1,280
8,1,1,2789,1,260,1,1,260
8,1,14,2790,1,260,1,1,260
8,1,23,3501,1,180,1,1,180
8,1,14,2773,1,160,1,1,160
8,1,14,3512,2,120,1,1,120
9,1,22,4221,,19000,1,5,19000
9,1,22,4211,,11500,1,5,11500
9,1,19,4632,,4500,1,6,4500
9,1,17,2824,,4000,1,6,4000
9,1,13,4623,,3500,1,6,3500
9,1,22,4151,,2000,1,5,2000
9,1,13,4622,,2000,1,6,2000
9,1,2,4481,,1600,1,1,1600
9,1,25,5011,,1500,1,6,1500
9,1,16,2785,2,1100,1,1,1100
9,1,22,4613,,1100,1,5,1100
9,1,1,2203,1,1000,1,1,1000
9,1,15,4481,,1000,1,6,1000
9,1,21,4481,,1000,1,6,1000
9,1,22,4614,,900,1,5,900
9,1,25,3524,1,850,1,1,850
9,1,1,2533,1,800,1,1,800
9,1,14,4183,,800,1,5,800
9,1,16,3503,1,780,1,1,780
9,1,25,3526,1,780,1,1,780
9,1,2,3503,1,650,1,1,650
