"recno","memnum","a1_1","a1_2","a1_3","a1_4","age","a1_5","a1_6","a1_7","a1_8","a1_9","a2_1","a2_2","a2_3","a2_4","b1_1","b1_2","b1_3","b1_4","b1_5","b1_6","b1_7","b1_8","b1_9","z4","c25_1","c25_2","c25_3","c25_4","c25_5","c25_6","c25_7","c25_8","c25_9","c25_10","e1_2","e1_3","e1_4","e1_5","e1_6","e1_7","e2_2","e2_3","e2_4","e2_5","e2_6","e2_7","e2_8","e2_9","e2_10","e2_11","e2_12","e2_13","e2_14","e2_15","e2_16","e2_17","e2_18","e2_19","e2_20","e2_20drm","c25_11","e2_21","e2_22","e2_22drm","e2_23","e2_24","e2_24drm","e2_25","e2_26","e2_26drm","e2_27","e2_28","e2_28drm","e2_29","e2_30","e2_30drm","e2_31","e2_32","e2_33","e2_34","e2_35","e2_35drm","e2_36","e2_37","e2_38","e3_2","e3_3","e3_4","e3_5","e3_6","e3_7","e3_8","e3_9","i1_1","i1_2","i1_3","i1_4","i1_5","i1_6","i1_7","i1_8","i1_9","i1_10","i1_11","i1_12","i1_13","i1_14","i1_15","i1_16","i1_17","i1_18","i1_19","i1_20","i1_21","i1_22","i1_23","i1_24","i1_25","i1_26","i1_27","i1_28","i1_29","i1_30","i1_31","i1_32","i1_33","i1_34","i1_35","i1_36","i1_37","i2_2","i2_3","i2_4","i2_5","i2_6","i2_7","i2_8","i2_9","i2_10","i2_11","i2_12","i2_13","i2_14","k1_1","k1_2","k1_3","k1_4","k1_5","k1_6","d1_1","d1_2","d1_3","d1_4","d1_5","d1_6","d1_7","d1_8","d1_9","d1_10","d1_11","d1_12","d2_1","d2_2","d2_3","d2_4","d2_5","d2_6","d2_7","d2_8","d2_9","d2_10","date"
5,3,1,3,4,1992,22,2,1,2,2,5,,,,,1,12,,6,2014,1,1,56,4,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5,1,1,1,7,1966,48,1,1,,,8,,,,,5,,,,,,,,,,,1,,,1,,,,,,,,,,,,6,5,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,1,,,64,1,,4,3,1,1,50,2,,,,,,,,,,,1
5,2,2,2,9,1968,46,1,2,,,7,,,,,5,,,,,,,,,,,,,,,,,,,1,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,6,,,3,1,2,1,,,85,1,,4,3,1,1,45,2,,,,,,,,,,,1
6,1,2,1,11,1978,36,4,1,,,8,,,,,5,,,,,,,,,7,1,,1,,1,,,,,,,,,,,,6,5,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,4,,,4,6,5,1,,,64,1,,4,3,1,3,50,2,,,,,,,,,,,1
6,2,1,3,10,2000,14,,1,,,3,19,,,,,,,,,,,,,7,1,,1,,,,,,,1,,,,,,,2,3,1,1,2,1,,1,2,0,2,,2,,,,,,,,,,15000,15000,1,10000,10000,1,,,,,,,,,,6,,5,,,,2,2,,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6,3,2,3,4,2003,11,,1,,,3,19,,,,,,,,,,,,,7,1,,1,,,,,,,1,,,,,,,2,1,1,1,2,1,,1,2,0,2,,2,,,,,,,,,,15000,15000,1,10000,10000,1,,,,,,,,,,6,,5,,,,2,2,,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,1,2,1,10,1969,45,3,2,,,8,,,,,5,,,,,,,,,11,,,,,1,,,,,,,,,,,,6,5,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,1,2500,2,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,7,,,3,1,2,1,,,84,1,,1,,1,3,70,2,,,,,,,,,,,1
8,1,1,1,2,1978,36,1,1,,,6,,,,,5,,,,,,,,,,,,,,,,,,,1,,,,,,,4,1,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,1,,,45,2,,4,3,1,3,70,2,,,,,,,,,,,1
8,2,2,2,10,1984,30,1,3,,,5,,,,,5,,,,,,,,,,,,,,,,,,,1,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,,,4,6,5,2,2,,,,,,,,,,,4,2,,,3,5,,,2,2,1
8,3,2,3,4,2012,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,1,1,1,1,1,2,2,1,0,1,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
9,2,1,3,10,1986,28,1,1,2,2,5,,,,,1,12,,5,2014,1,1,15,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
9,1,2,1,4,1960,54,3,1,,,7,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,0,2,,2,,,,,,,,,,,,,6,1,4000,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,6,,,3,6,5,1,,,86,1,,4,3,1,1,40,1,,,,,,,,,,,1
9,3,2,4,9,1990,24,1,2,,,5,,,,,5,,,,,,,,,,1,,1,,,,,,,1,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,4,2,,,3,5,,,2,2,1
9,4,2,5,2,2011,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,2,,,,,,,1,0,1,18,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10,1,1,1,5,1935,79,3,1,,,5,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,,2,,2,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,1,,,4,6,5,,,,,,,,,,,,,,,,,,,,,,,1
11,1,1,1,8,1937,77,1,5,,,5,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,,2,,2,,,,,,,,,,,,,1,1,5700,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,1,5,,4,6,2,,,,,,,,,,,,,,,,,,,,,,,1
11,2,2,2,7,1940,74,1,5,,,5,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,,2,,2,,,,,,,,,,,,,1,1,4900,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,1,5,,4,6,2,2,2,,,,,,,,,,,3,1,1,5,3,13,,,,,1
12,1,1,1,2,1952,62,3,1,,,5,3,8,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,,2,,2,,,,,,,,,,,,,2,1,2200,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,1,1,,4,6,5,2,2,,,,,,,,,,,3,1,4,5,3,6,,,1,,1
12,2,1,3,2,1980,34,1,1,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,1,,,42,1,,4,3,1,1,48,2,,,,,,,,,,,1
12,3,2,4,6,1981,33,1,1,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,1,,,4,8,3,2,2,,,,,,,,,,,2,2,,,3,13,,,,,1
12,4,1,5,3,2004,10,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,1,1,,1,2,0,2,,2,,,,,,,,,,7000,7000,1,5000,5000,1,,,,,,,,,,6,,5,,,,2,2,,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12,5,2,5,8,2006,8,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,1,1,,1,1,0,2,,2,,,,,,,,,,6000,6000,1,4000,4000,1,,,,,,,,,,6,,5,,,,2,2,,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12,6,1,5,10,2009,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12,7,1,5,9,2012,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,2,,,,,,,1,20000,1,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
13,1,1,1,2,1959,55,1,1,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,3,,4,8,5,1,,,49,1,,4,3,1,3,70,2,,,,,,,,,,,1
13,2,2,2,1,1957,58,1,1,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,3,,4,8,5,2,2,,,,,,,,,,,2,1,1,5,3,13,,,,,1
13,3,1,3,5,1988,26,1,1,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,1,,,47,1,,4,3,1,1,48,2,,,,,,,,,,,1
13,4,2,4,1,1989,26,1,1,,,8,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,3,,3,9,3,1,,,47,3,1,4,3,1,2,20,2,,,,,,,,,,,1
13,5,2,5,12,2012,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,1,1,1,1,1,2,2,1,0,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
13,6,1,5,11,2013,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,1,1,1,1,1,2,2,1,0,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
13,7,2,3,9,1985,29,4,1,,,7,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,1,3,,5,8,4,1,,,47,1,,4,3,1,1,48,2,,,,,,,,,,,1
13,8,2,5,12,2010,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,1,1,1,1,1,2,2,1,0,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
13,9,1,5,12,2012,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,1,1,1,1,1,2,2,1,0,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
14,1,2,1,9,1944,70,3,1,,,5,5,,,,5,,,,,,,,,4,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,1,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,,,4,6,3,2,2,,,,,,,,,,,3,1,3,5,3,13,,,,,1
15,1,1,1,8,1935,79,1,1,,,5,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,,2,,2,,,,,,,,,,,,,1,1,3500,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,,,3,6,5,,,,,,,,,,,,,,,,,,,,,,,1
15,2,2,2,3,1938,76,1,1,,,5,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,,2,,2,,,,,,,,,,,,,1,1,1500,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,,,3,6,5,,,,,,,,,,,,,,,,,,,,,,,1
15,3,2,3,2,1978,36,2,1,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,1,,,47,1,,4,3,1,3,70,2,,,,,,,,,,,1
16,4,1,5,4,1995,19,2,1,2,4,5,,,,,1,6,2,5,2013,5,2,,4,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16,1,2,1,4,1937,77,3,1,,,5,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,4,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,1,,,4,9,1,,,,,,,,,,,,,,,,,,,,,,,1
16,2,2,4,4,1968,46,3,1,,,7,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,,2,,2,,,,,,,,,,,,,2,1,1200,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,1,5,,4,8,1,2,2,,,,,,,,,,,2,1,1,5,3,7,,,1,,1
