"recno","memnum","a1_1","a1_2","a1_3","a1_4","age","a1_5","a1_6","a1_7","a1_8","a1_9","a2_1","a2_2","a2_3","a2_4","b1_1","b1_2","b1_3","b1_4","b1_5","b1_6","b1_7","b1_8","b1_9","z4","c25_1","c25_2","c25_3","c25_4","c25_5","c25_6","c25_7","c25_8","c25_9","c25_10","e1_2","e1_3","e1_4","e1_5","e1_6","e1_7","e2_2","e2_3","e2_4","e2_5","e2_6","e2_7","e2_8","e2_9","e2_10","e2_11","e2_12","e2_13","e2_14","e2_15","e2_16","e2_17","e2_18","e2_19","e2_20","e2_20drm","c25_11","e2_21","e2_22","e2_22drm","e2_23","e2_24","e2_24drm","e2_25","e2_26","e2_26drm","e2_27","e2_28","e2_28drm","e2_29","e2_30","e2_30drm","e2_31","e2_32","e2_33","e2_34","e2_35","e2_35drm","e2_36","e2_37","e2_38","e3_2","e3_3","e3_4","e3_5","e3_6","e3_7","e3_8","e3_9","i1_1","i1_2","i1_3","i1_4","i1_5","i1_6","i1_7","i1_8","i1_9","i1_10","i1_11","i1_12","i1_13","i1_14","i1_15","i1_16","i1_17","i1_18","i1_19","i1_20","i1_21","i1_22","i1_23","i1_24","i1_25","i1_26","i1_27","i1_28","i1_29","i1_30","i1_31","i1_32","i1_33","i1_34","i1_35","i1_36","i1_37","i2_2","i2_3","i2_4","i2_5","i2_6","i2_7","i2_8","i2_9","i2_10","i2_11","i2_12","i2_13","i2_14","k1_1","k1_2","k1_3","k1_4","k1_5","k1_6","d1_1","d1_2","d1_3","d1_4","d1_5","d1_6","d1_7","d1_8","d1_9","d1_10","d1_11","d1_12","d2_1","d2_2","d2_3","d2_4","d2_5","d2_6","d2_7","d2_8","d2_9","d2_10","date"
1127,5,1,5,8,2011,3,,2,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,1,,3000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,30,2,,2,,,,,,,,,,,,,1,2,,2,,,,,,,,,,,,,,,1,2,1,1,1,1,1,2,1,1,0,1,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1127,6,1,5,10,2014,0,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,1,2,1,1,1,1,1,2,2,1,0,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1128,1,2,1,6,1960,54,4,2,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,20,1,10,2,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,1,5,3,5,8,4,2,2,,,,,,,,,,,4,1,1,5,1,,7,4,1,,3
1129,1,2,1,2,1946,69,3,2,,,5,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,30,1,10,1,1,1,2,,0,0,0,,1,2,1,1,,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,1,5,,4,6,5,2,1,6,1,4,6,4,1,3,2,0,2,,,,,,,,,,,3
1129,2,1,3,9,1964,50,1,2,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,4,1,1,3,1,,3,3,1,,3
1129,3,2,4,12,1965,49,1,2,,,7,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,4,2,,,3,7,,,1,,3
1129,4,1,5,10,1986,28,2,2,,,8,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,4,1,2,3,1,,7,3,1,,3
1129,5,1,5,5,1989,25,2,2,,,8,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,2,,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,4,,,3,7,4,2,2,,,,,,,,,,,4,1,2,3,1,,7,3,1,,3
1130,1,1,1,12,1946,68,1,3,,,6,2,5,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,4,2,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,15,1,10,2,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,3,1,3,5,3,6,,,2,2,3
1130,2,2,2,7,1949,65,1,3,,,7,3,5,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,30,1,30,1,1,8,1,10000,0,0,140000,150000,1,2,2,1,,1,10000,1,1,1,1,12,2,1,200000,50000,0,0,0,0,250000,1,1,2,,,,,,,,,,,,,,2,5,,2,6,3,2,2,,,,,,,,,,,3,1,3,5,3,6,,,2,2,3
1130,3,1,3,5,1985,29,1,2,,,5,,,,,4,1,1,2,2015,2,1,46,4,,1,,1,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,,,3,7,3,2,2,,,,,,,,,,,4,1,7,4,1,,3,1,1,,3
1130,4,2,4,4,1988,26,1,2,,,7,,,,,4,1,1,2,2015,2,1,86,4,,1,,1,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,,,3,9,3,2,2,,,,,,,,,,,2,1,7,4,3,5,,,2,2,3
1130,5,2,3,6,1983,31,2,2,,,1,1,12,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,0,0,2,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,30,1,30,2,,,,,,,,,,,,,7,2,,2,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,3,2,,,3,6,,,2,2,3
1131,3,1,3,10,1992,22,2,1,2,2,8,,,,,1,11,1,8,2014,1,1,84,4,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1131,1,1,1,3,1954,61,1,2,,,7,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,1,,,41,1,,4,3,2,1,48,2,,,,,,,,,,,3
1131,2,2,2,8,1963,51,1,2,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,10,2,,2,,,,,,,,,,,,,2,1,300,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,3,5,3,8,3,2,2,,,,,,,,,,,4,2,,,3,7,,,1,,3
1132,1,1,1,11,1954,60,3,2,,,5,,,,,3,12,,5,2014,5,2,,4,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,2,,4,7,3,2,2,,,,,,,,,,,4,1,2,3,3,7,,,1,,3
1133,1,2,1,8,1961,53,3,2,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,10,2,,2,,,,,,,,,,,,,2,1,3000,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,5,,3,9,3,1,,,55,1,,4,3,1,1,48,1,,,,,,,,,,,3
1134,1,1,1,2,1954,61,1,2,,,7,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,6,,3,7,3,2,2,,,,,,,,,,,4,1,2,2,3,7,,,1,,3
1134,2,2,2,7,1958,56,1,2,,,7,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,0,2,,2,,,,,,,,,,,,,4,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,6,,3,8,3,2,2,,,,,,,,,,,4,1,1,5,3,7,,,1,,3
1134,3,1,8,1,1991,24,2,7,,,8,,,,,6,15,,11,2013,2,2,,4,,1,,1,,,,,,,,,,,,,,6,6,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,1,,,99,1,,3,,2,2,15,2,,,,,,,,,,,3
1135,3,1,4,10,1968,46,1,2,2,2,5,,,,,1,12,,11,2013,1,1,42,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1135,1,2,1,9,1946,68,3,3,,,5,5,,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,1,3,,4,9,4,2,2,,,,,,,,,,,3,1,1,5,3,13,,,,,3
1135,2,2,3,4,1969,45,1,2,,,5,,,,,5,,,,,,,,,,1,,,1,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,1,3,4,4,4,4,2,2,,,,,,,,,,,4,1,2,2,1,,7,2,1,,3
1135,4,1,5,3,1993,22,2,2,,,5,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,,,4,4,4,2,2,,,,,,,,,,,4,2,,,1,,7,4,1,,3
1135,5,2,5,3,1997,18,2,2,,,4,,,,,5,,,,,,,,,,1,,,1,,,,,,,,,,,,,3,2,1,1,3,1,,1,3,0,2,,2,,,,,,,,,,10000,10000,1,25000,25000,1,,,,,,,,,,6,,5,,,,2,1,,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,,,4,9,4,2,2,,,,,,,,,,,1,2,,,3,13,,,,,3
1135,6,2,5,9,2003,11,,2,,,3,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,2,0,1,1,1,1,,1,2,0,2,,2,,,,,,,,,,13000,13000,1,15000,15000,1,,,,,,,,,,6,,5,,,,2,1,,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1136,2,1,3,4,1965,49,1,2,2,2,8,,,,,1,12,,4,2013,1,1,41,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1136,1,2,1,5,1932,82,3,3,,,5,2,5,,,5,,,,,,,,,,1,,,1,,,,,,,,,,,,,3,2,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,30,2,,2,,,,,,,,,,,,,1,1,8000,1,1,2,1,7,2,1,250000,,0,0,0,0,250000,1,1,2,,,,,,,,,,,,,,5,,,3,9,5,,,,,,,,,,,,,,,,,,,,,,,3
1136,3,2,4,2,1973,42,1,2,,,8,,,,,5,,,,,,,,,,1,,,1,,,,,,,,,,,,,6,5,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,7,,,3,9,5,1,,,64,1,,4,3,1,1,40,2,,,,,,,,,,,3
1136,4,2,5,2,1998,17,2,2,,,4,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,3,2,1,1,3,1,,1,3,0,2,,1,1,6,,,3,240000,240000,,1,15000,15000,1,20000,20000,1,,,,,,,,,,6,,5,,,,2,2,,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,7,,,3,9,5,2,2,,,,,,,,,,,1,2,,,3,13,,,,,3
1136,5,1,5,6,2006,8,,2,,,2,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,2,1,1,1,1,,1,1,0,2,,2,,,,,,,,,,7000,7000,1,5000,5000,1,,,,,,,,,,1,2,5,,,,2,1,,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1137,1,2,1,6,1947,67,3,3,,,7,5,,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,30,1,10,2,,,,,,,,,,,,,2,1,11000,1,,2,2,,1,4,7000,,0,0,0,0,10000,3,2,2,,,,,,,,,,,,,,5,,,4,9,4,2,2,,,,,,,,,,,3,1,1,5,3,13,,,,,3
1137,2,2,3,3,1970,45,1,2,,,7,,,,,5,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,5,2,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,7,2,,2,,,,,,,,,,,,,2,1,4800,2,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,5,3,2,4,8,5,1,,,84,1,,1,,1,1,40,2,,,,,,,,,,,3
1137,3,1,4,9,1960,54,1,2,,,7,,,,,5,,,,,,,,,15,1,,,1,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,21,2,,2,,,,,,,,,,,,,2,1,5300,2,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,5,3,2,4,8,5,1,,,84,1,,1,,1,1,40,2,,,,,,,,,,,3
1137,4,1,5,8,1991,23,2,2,,,8,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,6,4,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,7,2,,2,,,,,,,,,,,,,4,1,1600,2,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,3,2,,4,8,5,1,,,85,1,,1,,1,2,30,2,,,,,,,,,,,3
1137,5,1,5,12,2000,14,,2,,,3,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,2,2,1,1,2,1,,1,2,0,2,,2,,,,,,,,,,16000,16000,1,15000,15000,1,,,,,,,,,,6,,5,,,,2,1,,,,,,,,,3,7,2,,2,,,,,,,,,,,,,1,1,4060,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1138,1,1,1,5,1959,55,1,3,,,8,,,,,2,12,,11,2014,2,2,,4,,1,,1,,,,,,,,,,,,,,6,5,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,7,,,3,9,4,1,,,87,1,,1,,1,1,40,2,,,,,,,,,,,3
1138,2,2,2,1,1966,49,1,3,,,8,3,12,,,5,,,,,,,,,,1,,,1,,,,,,,,,,,,,6,5,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,7,2,,1,,4,2,,1,5,5000,,0,0,0,0,10000,1,1,2,,,,,,,,,,,,,,7,,,3,9,4,2,2,,,,,,,,,,,2,2,,,3,5,,,2,2,3
1138,3,1,3,10,1991,23,2,2,,,5,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,6,3,1,2,6,1,,2,6,,2,,2,,,,,,,,,,6000,6000,1,8000,8000,1,300000,300000,1,,,,1000,1000,1,6,,5,,,,2,2,,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,7,,,3,9,2,2,2,,,,,,,,,,,1,2,,,3,13,,,,,3
1138,4,2,3,8,1993,21,2,2,,,8,23,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,6,4,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,7,,,3,4,4,2,2,,,,,,,,,,,4,2,,,1,,1,2,1,,3
1138,5,2,3,5,1998,16,2,2,,,4,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,3,2,1,1,3,1,,1,3,0,2,,1,1,1,2,,3,400000,400000,,1,7000,7000,1,25000,25000,1,,,,,,,,,,6,,5,,,,2,1,,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,7,,,3,9,5,2,2,,,,,,,,,,,1,2,,,3,13,,,,,3
1139,1,2,1,11,1939,75,3,3,,,4,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,7,2,,2,,,,,,,,,,,,,1,1,4000,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,7,,,3,9,2,2,2,,,,,,,,,,,3,1,3,5,3,13,,,,,3
1140,1,1,1,8,1947,67,1,5,,,4,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,,,4,9,4,2,2,,,,,,,,,,,3,1,3,5,3,7,,,1,,3
1140,2,2,2,3,1952,63,1,5,,,4,3,12,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,30,1,7,1,2,4,2,,0,0,0,,1,1,1,2,,1,8600,1,1,,1,10,2,3,,20000,0,0,0,0,20000,2,1,2,,,,,,,,,,,,,,5,,,4,9,4,2,2,,,,,,,,,,,3,1,3,5,3,6,,,2,2,3
1141,1,2,1,12,1977,37,4,2,,,4,,,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,2,4,2,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,1,1,,1,3,2,5,,,0,0,0,0,,1,2,2,,,,,,,,,,,,,,3,1,,5,9,2,2,2,,,,,,,,,,,2,2,,,3,5,,,2,2,3
1141,2,2,3,9,2000,14,,2,,,3,19,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,4,1,1,2,1,,1,2,0,2,,2,,,,,,,,,,15000,15000,1,20000,20000,1,,,,,,,,,,6,,5,,,,2,1,,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1141,3,1,3,4,2007,7,,2,,,2,19,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,0,2,,2,,,,,,,,,,5000,5000,1,20000,20000,1,,,,,,,,,,1,2,5,,,,2,1,,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1141,4,1,3,8,2014,0,,2,,,,19,,,,,,,,,,,,,1,,,,,,,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,1,2,2,,,,,,,1,0,1,8,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1141,5,1,7,4,1974,40,2,2,,,4,,,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,2,5,2,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,5,,,5,9,5,2,2,,,,,,,,,,,5,2,,,3,6,,,2,2,3
1142,1,1,1,11,1937,77,3,3,,,5,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,5,2,,2,,,,,,,,,,,,,1,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,1,,,5,9,4,,,,,,,,,,,,,,,,,,,,,,,3
1143,1,1,1,1,1929,86,3,2,,,7,2,5,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,30,2,,2,,,,,,,,,,,,,1,1,5000,2,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,7,,,3,9,2,,,,,,,,,,,,,,,,,,,,,,,3
1143,2,2,3,9,1967,47,2,2,,,8,,,,,5,,,,,,,,,,1,,1,,1,,,,,,,,,,,,6,5,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,7,,,3,9,2,1,,,85,1,,1,,1,1,40,2,,,,,,,,,,,3
1144,1,1,1,9,1966,48,1,2,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,6,1,10,2,,,,,,,,,,,,,1,1,10000,1,1,1,1,3,2,1,,50000,,8000,8000,10000,80000,1,2,2,,,,,,,,,,,,,,6,,,3,6,4,2,1,3,,,,,,,,,,4,1,8,2,3,11,,,2,2,3
1144,2,2,2,10,1967,47,1,2,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,2,2,,2,,,,,,,,,,,,,4,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,6,,,3,6,4,2,1,6,1,4,6,4,1,3,1,0,2,,,,,,,,,,,3
1144,3,1,3,9,1990,24,2,2,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,6,,,3,6,5,2,1,3,,,,,,,,,,4,1,8,2,3,11,,,2,2,3
1145,1,1,1,4,1976,38,1,3,,,5,,,,,3,12,,11,2014,1,1,41,1,5,1,,1,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,6,,,3,6,4,2,2,,,,,,,,,,,4,2,,,3,11,,,2,2,3
1145,2,2,2,8,1982,32,1,3,,,5,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,1,1,1,1,2,2,5,,,0,0,0,0,,1,2,2,,,,,,,,,,,,,,6,,,3,6,5,2,2,,,,,,,,,,,4,1,2,2,3,4,,,2,2,3
1145,3,1,3,11,2005,9,,3,,,2,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,3,1,1,1,1,,1,1,,2,,2,,,,,,,,,,3000,3000,1,5000,5000,1,,,,,,,,,,1,1,5,,,,2,2,,,,,,,,,2,0,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
