"recno","y1_1","y1_2","y1_3","y1_3drm","y1_4","y1_5"
81,2,19,15000,111150,2,3
81,2,19,15000,111150,2,3
82,1,1,400000,400000,1,3
82,2,1,350000,350000,1,3
83,1,1,63000,63000,1,3
83,1,3,41500,41500,1,3
84,3,1,60000,60000,1,3
84,4,1,60000,60000,1,3
85,1,1,130000,130000,1,3
85,2,1,20000,20000,1,3
85,4,3,16000,16000,1,3
86,1,3,41000,41000,1,3
86,1,21,40000,13333.3333333333,1,7
86,2,3,42000,42000,1,3
86,3,1,90000,90000,1,3
87,1,1,60000,60000,1,3
87,2,1,60000,60000,1,3
88,1,19,60000,20000,1,7
89,1,3,50500,50500,1,3
89,2,3,45000,45000,1,3
89,2,13,22800,22800,1,3
89,3,2,120000,120000,1,3
90,2,22,27000,4500,1,5
91,1,1,60000,60000,1,3
92,1,1,200000,200000,1,3
92,2,8,18000,18000,1,3
93,1,3,40000,40000,1,3
93,2,3,28000,28000,1,3
94,1,22,30000,10000,1,7
94,6,1,60000,60000,1,3
95,1,1,72000,72000,1,3
95,2,1,49000,49000,1,3
95,3,19,200000,66666.6666666667,1,7
96,1,19,20000,49400,2,7
96,3,3,40000,40000,1,3
97,1,1,390000,390000,1,3
97,2,1,320000,320000,1,3
98,1,1,80000,80000,1,3
98,2,1,32000,32000,1,3
99,2,22,400000,400000,1,3
100,1,3,48000,48000,1,3
101,1,3,50000,50000,1,3
101,2,3,52000,52000,1,3
101,3,1,150000,150000,1,3
101,4,1,120000,120000,1,3
102,1,3,57000,57000,1,3
102,1,19,250000,83333.3333333333,1,7
102,2,3,45000,45000,1,3
103,1,1,80000,80000,1,3
103,2,3,16000,16000,1,3
104,1,3,38000,38000,1,3
104,1,18,15000,15000,1,3
105,1,3,48000,48000,1,3
105,2,3,45000,45000,1,3
106,2,1,180000,180000,1,3
106,5,3,50000,50000,1,3
107,1,3,64000,64000,1,3
107,2,3,57000,57000,1,3
107,3,1,70000,70000,1,3
108,1,3,40000,40000,1,3
108,2,1,200000,200000,1,3
108,3,2,200000,200000,1,3
108,4,8,36000,36000,1,3
109,1,2,350000,350000,1,3
109,1,3,31000,31000,1,3
109,2,3,35000,35000,1,3
109,3,3,48000,48000,1,3
110,1,3,42000,42000,1,3
110,2,3,48000,48000,1,3
110,3,1,150000,150000,1,3
111,1,3,38000,38000,1,3
111,2,3,72000,72000,1,3
111,3,1,90000,90000,1,3
111,4,1,35000,35000,1,3
112,1,22,20000,1666.66666666667,1,4
112,3,1,100000,100000,1,3
112,4,8,18000,18000,1,3
113,1,1,120000,120000,1,3
113,2,1,50000,50000,1,3
114,1,1,58000,58000,1,3
114,1,16,20000,3333.33333333333,1,5
114,4,3,36000,36000,1,3
115,1,3,48000,48000,1,3
115,2,1,90000,90000,1,3
115,5,1,120000,120000,1,3
116,1,2,400000,400000,1,3
116,3,1,250000,250000,1,3
117,1,3,32000,32000,1,3
117,2,1,80000,80000,1,3
117,2,3,43000,43000,1,3
117,4,1,50000,50000,1,3
118,1,1,200000,66666.6666666667,1,7
118,1,22,100000,25000,1,6
118,2,1,70000,70000,1,3
119,1,1,270000,270000,1,3
119,1,19,500,237865,3,3
119,4,1,300000,300000,1,3
120,1,3,47000,47000,1,3
120,1,16,500,237865,3,3
120,2,3,42000,42000,1,3
121,1,1,90000,90000,1,3
121,1,17,30000,30000,1,3
121,3,1,150000,150000,1,3
122,1,3,47000,47000,1,3
122,2,3,41000,41000,1,3
122,4,19,400,190292,3,3
122,4,22,100000,25000,1,6
123,1,3,41000,41000,1,3
123,3,1,90000,90000,1,3
123,3,19,400,190292,3,3
124,1,22,100000,25000,1,6
124,2,13,10000,10000,1,3
124,4,1,65000,65000,1,3
124,4,19,460,218835.8,3,3
125,1,1,140000,140000,1,3
125,2,1,50000,50000,1,3
125,3,1,170000,170000,1,3
125,5,1,80000,80000,1,3
125,5,3,38000,38000,1,3
126,1,1,300000,300000,1,3
126,1,19,200,110916,4,3
126,2,13,58000,58000,1,3
126,3,1,230000,230000,1,3
127,2,19,10000,74100,2,3
128,1,1,90000,90000,1,3
129,1,3,41000,41000,1,3
129,2,3,34000,34000,1,3
130,1,3,41000,41000,1,3
131,1,3,39700,39700,1,3
131,2,3,29000,29000,1,3
132,1,3,40000,40000,1,3
