"recno","date","day","x5_1","x5_2","x5_3","x5_4"
988,3,20,3501,1,300,1
988,3,20,2533,2,3500,1
993,3,9,3341,,3500,1
994,3,7,2675,6,3500,1
996,3,8,2157,2,1000,1
996,3,8,3514,1,1000,1
996,3,8,2157,1,1250,1
1000,3,8,2523,1,1500,1
1000,3,8,2252,1,2000,1
1001,3,8,3526,1,1000,1
1001,3,8,2252,1,2000,1
1001,3,8,2160,1,6000,1
1002,3,8,2159,1,5000,1
1002,3,8,2154,1,5500,1
1004,3,8,2690,6,2500,1
1004,3,8,2157,1,1300,1
1007,3,8,3526,1,800,1
1007,3,8,2159,1,3000,1
1018,3,8,2157,2,600,1
1018,3,8,2212,1,1200,1
1018,3,8,2252,1,1600,1
1023,3,8,3523,1,1500,1
1023,3,8,3341,1,5000,1
1024,3,30,2196,4,2000,1
1024,3,30,2269,1,3000,1
1024,3,30,2171,1,6000,1
1026,3,1,2252,1,2000,1
1026,3,8,2155,1,3000,1
1027,3,9,2155,1,8500,1
1027,3,9,2246,1,12000,1
1027,3,15,2824,,2750,1
1027,3,15,2824,,3380,1
1027,3,15,2824,,2000,1
1027,3,15,2831,,2520,1
1033,3,19,2180,1,4500,1
1033,3,19,2262,1,7500,1
1036,3,8,2252,1,1500,2
1039,3,8,2212,1,2000,1
1048,3,8,3522,1,3000,1
1048,3,8,2130,1,3500,1
1053,3,21,2831,,5000,5
1056,3,21,3501,1,300,1
1056,3,25,2831,1,8800,1
1058,3,10,2159,1,2500,1
1058,3,12,2152,1,8500,1
1058,3,13,2157,2,600,1
1058,3,19,2831,,10800,1
1058,3,22,2831,,6600,1
1097,3,8,3341,1,4000,3
1102,3,14,2831,1,2000,5
1102,3,14,2831,1,2800,5
1119,3,8,2133,1,400,1
1119,3,17,2157,1,400,1
1119,3,17,2158,1,700,1
1119,3,17,2679,1,1500,1
1168,3,8,3575,2,10000,1
1168,3,8,3341,1,8000,2
1168,3,8,3522,1,15000,2
1203,3,6,3341,,6000,3
1217,3,8,2712,1,5000,1
1217,3,8,3522,1,10000,2
1220,3,8,3522,1,2000,1
1223,3,8,2159,2,6000,1
1223,3,8,2252,1,3000,1
1223,3,8,2187,1,4500,1
1224,3,8,2252,1,3000,1
1224,3,8,3522,1,5000,1
1225,3,8,2252,2,3000,1
1225,3,8,2531,1,8500,1
1226,3,8,3341,5,2500,2
1226,3,8,2533,2,3000,1
1226,3,8,3522,1,5500,2
1227,3,8,3522,1,5000,2
1227,3,8,2154,1,12500,2
1230,3,8,3341,,2500,2
1230,3,8,2675,6,4500,1
1231,3,8,3341,,2500,2
1231,3,8,3522,1,5000,2
1231,3,8,2531,1,7500,1
1249,3,8,3341,7,3500,1
1249,3,8,2154,1,10000,1
1249,3,8,3521,1,15000,1
1255,3,1,2134,1,2000,1
1255,3,1,3521,1,3500,1
1255,3,2,3577,1,2500,1
1255,3,8,3283,1,1000,1
1255,3,8,2688,1,1200,1
1261,3,1,3521,1,7000,1
1261,3,1,2151,2,20000,1
1261,3,2,3341,7,1500,3
1261,3,4,3577,1,3500,1
1261,3,5,2689,1,2500,1
1261,3,8,2688,1,5000,1
1261,3,8,3521,1,15000,3
1261,3,10,2532,1,1500,1
1261,3,12,3506,1,1100,3
1261,3,14,2226,1,3000,1
1261,3,14,2261,1,4500,1
1261,3,15,3290,1,1300,1
1261,3,24,2205,1,1200,5
1261,3,26,2252,2,2000,4
1261,3,30,2676,1,4500,1
1264,3,8,2676,6,1600,1
1264,3,8,3341,1,1000,1
1267,3,23,3577,1,2000,1
1270,3,8,3523,1,700,1
1270,3,8,2192,1,1000,1
1270,3,8,2159,1,1800,1
1270,3,20,4211,,3000,5
1271,3,17,4211,,4620,5
1272,3,3,4211,,5000,5
1273,3,8,2683,1,2000,1
1273,3,20,4211,,5450,5
1274,3,5,4211,80,3360,5
1275,3,5,4211,,1200,5
1275,3,11,4622,,1000,1
1275,3,24,4622,,1000,1
1276,3,13,4211,48,2016,5
1277,3,12,4211,,2300,5
1278,3,8,2676,6,3800,1
1278,3,15,4211,,5000,5
1293,3,8,2252,1,2500,1
1294,3,8,2677,6,3000,1
1294,3,8,2190,1,2500,1
1298,4,1,3522,1,8000,1
1299,4,5,2677,6,3000,1
1299,4,5,2152,1,8500,1
1300,4,1,3522,1,8500,1
1330,4,3,2134,3,4500,1
1330,4,3,2130,2,6000,1
1330,4,3,3522,2,6000,1
1335,4,2,2831,,20000,1
1335,4,2,3341,1,6000,1
1353,4,27,3506,1,1000,1
1353,4,27,3503,1,1200,1
1353,4,27,3506,1,1500,1
1353,4,28,4632,,5000,1
1369,4,22,3341,,10000,5
1370,4,19,3526,1,2600,1
1370,4,22,3514,15,4500,1
1370,4,22,2155,1,7000,1
1371,4,24,4622,,1000,1
1375,4,21,3512,4,1000,3
1375,4,22,3505,2,1100,3
1376,4,5,4622,,2000,1
1386,4,3,4211,,10000,1
1386,4,3,4151,,960,1
1386,4,3,4221,,7600,1
1386,4,3,4613,,1500,1
1386,4,3,4632,,4000,1
1386,4,6,4622,,4000,1
1388,4,25,4622,,500,3
1390,4,24,4211,,10000,1
1390,4,24,4151,,800,1
1390,4,24,4613,,1100,1
1390,4,24,4622,,500,1
1392,4,16,3501,2,500,1
1392,4,16,2790,1,350,1
1392,4,16,2785,1,1500,1
1431,4,9,2252,1,1800,1
1439,4,17,2159,1,2700,1
1441,4,1,4211,,1500,3
1451,4,1,2171,1,2500,1
1451,4,1,2261,1,3000,1
1456,4,1,2195,1,3000,1
1457,4,3,2133,4,1000,1
1457,4,3,2252,1,1800,1
1459,4,1,3527,1,500,1
1459,4,1,3526,1,850,1
1464,4,2,2831,,3500,5
1464,4,2,2831,,2500,5
1483,4,29,2831,,5000,5
1486,4,15,3522,1,7000,1
1552,4,2,2157,3,1200,1
1552,4,2,2155,1,5000,1
1648,4,22,2269,1,4000,3
1648,4,22,2194,2,10000,1
1648,4,22,2521,1,5700,1
1720,4,27,4211,,5000,5
1720,4,27,4221,,5000,5
1721,4,7,4491,,600,3
1721,4,7,2666,1,7500,1
1721,4,11,4491,,600,3
1721,4,13,2190,1,4000,1
1721,4,13,2179,1,6000,1
1721,4,15,3521,1,6500,1
1721,4,15,2128,1,10000,1
1721,4,17,4491,,600,3
1721,4,20,4491,,600,3
1721,4,29,4211,,7000,5
1722,4,2,4211,,5000,5
1722,4,5,4491,,600,3
1722,4,7,3341,,5000,3
1722,4,13,3577,2,800,1
1722,4,13,3503,1,2200,1
1722,4,13,2116,1,4800,1
1722,4,13,2116,1,6600,1
1722,4,18,4491,,300,1
1722,4,25,3526,1,1800,1
1723,4,21,4211,,1000,5
1724,4,22,4211,,3000,5
1725,4,3,4211,,600,5
1726,4,15,3510,20,2800,1
1726,4,15,3503,1,1400,1
1726,4,17,4211,,3600,5
1726,4,17,4221,,4400,5
1727,4,3,4211,,1600,5
1727,4,3,4221,,2000,5
1728,4,29,4211,,2500,5
1728,4,29,4221,,4000,5
1757,5,1,2831,,8000,5
1762,5,1,3505,1,1000,1
1762,5,1,3503,1,2500,1
1762,5,1,2785,1,4000,1
1765,5,20,2831,,30000,1
1766,5,28,3501,2,400,1
1766,5,28,2782,1,200,1
1766,5,28,3512,1,200,1
1766,5,28,2790,1,250,1
1767,5,1,4211,,1600,1
1767,5,1,4151,,200,1
1767,5,1,4221,,1000,1
1767,5,1,4161,,200,1
1767,5,1,4613,,1100,1
1769,5,2,2831,,3000,5
1775,5,20,4632,,4500,1
1779,5,19,2831,,5000,5
1802,5,19,5001,,1000,1
1802,5,19,3398,1,2500,3
1802,5,20,2831,,25000,1
1802,5,20,4211,,13600,1
1802,5,20,4622,,2000,1
1803,5,19,3501,5,500,4
1803,5,19,2790,2,360,4
1803,5,19,2789,1,300,4
1803,5,19,2784,2,1000,4
1803,5,19,3503,2,1200,4
1803,5,20,3505,2,560,4
1804,5,25,2824,,9000,1
1813,5,21,4511,,216000,3
1824,5,26,4622,,1000,1
1829,5,19,4211,,5000,1
1829,5,19,4221,,1600,1
1829,5,19,4613,,1100,1
1829,5,19,4161,,600,1
1829,5,19,4632,,6000,1
1829,5,19,4622,,3000,1
1831,5,18,4221,,2500,1
1831,5,18,4151,,1800,1
1831,5,18,4161,,200,1
1831,5,18,4613,,1100,1
1831,5,19,2824,,17000,1
1831,5,19,2824,,2000,1
1831,5,19,2831,,2000,1
1838,5,1,4211,,6000,1
1838,5,1,4221,,4500,1
1838,5,1,4151,,800,1
1838,5,1,4622,,1000,1
1838,5,1,4041,,80000,1
1859,5,1,2162,1,3000,1
1860,5,1,2172,1,2500,1
1860,5,1,2172,1,3000,1
1860,5,22,3283,1,1500,1
1861,5,2,2160,1,5000,1
1863,5,21,3522,1,5000,1
1865,5,21,2155,1,3500,1
1865,5,21,2132,1,4600,1
1867,5,1,2155,2,8000,1
1877,5,24,2824,,1500,5
1877,5,24,2831,,530,5
1877,5,24,2824,,3100,5
1877,5,24,2831,,2700,5
1877,5,24,2831,,300,5
1891,5,31,2824,,5110,5
1891,5,31,2824,,2930,5
1891,5,31,2824,,1890,5
1891,5,31,2824,,450,5
1898,5,1,2831,,2550,5
1922,5,13,2711,1,6500,1
1990,5,21,3398,1,2000,1
1990,5,21,3522,2,5000,1
1990,5,21,2155,2,13000,3
2015,5,22,2155,5,20000,1
2015,5,25,2173,3,10000,1
2031,5,23,4622,,1000,1
2107,5,1,3341,5,2500,5
2111,5,1,2676,6,4000,1
2115,5,2,3341,15,20000,3
2115,5,2,3290,1,3000,1
2134,5,26,4211,,2500,5
2134,5,26,4221,,2000,5
2135,5,5,4211,,1000,5
2135,5,5,4221,,1600,5
2136,5,8,4211,,4700,5
2136,5,8,4221,,1800,5
2137,5,20,4211,,4000,5
2137,5,20,4221,,3000,5
2138,5,25,4211,,3000,5
2138,5,25,4221,,2000,5
2139,5,20,4221,,1300,5
2139,5,20,4211,,2300,5
2140,5,28,4211,,2000,5
2140,5,28,4221,,1500,5
2141,5,14,3290,1,2500,1
2141,5,15,4211,,4000,5
2141,5,15,4221,,2500,5
2142,5,27,4211,,3500,5
2142,5,27,4221,,2000,5
2143,5,17,4211,,2400,5
2143,5,17,4221,,2340,5
2144,5,23,4211,,2400,5
