"recno","f2_row","f2_1","f2_2","f2_3","f2_4","f2_5","f2_6","f2_7","f2_8","f2_9","f2_10","f2_11","f2_12","f2_13","f2_14"
141,7,2,,,,,2,130,416000,15,55000,2,8,,5
141,11,20,,,5,15000,6,,,9,16000,2,,,
141,12,20,,,5,15000,6,,,9,16000,2,,,
145,1,1,,,1,250000,,,,,,2,,,
145,2,1,,,,,,,,,,,,,
145,3,,,,1,250000,,,,,,2,,,
145,11,12,,,,,2,,,22,55000,,,,10
145,12,9,,,,,2,,,22,55000,,,,10
146,11,1,,,,,2,,,9,18000,,,,9
146,12,,,,,,2,,,9,18000,,,,9
146,13,3,,,,,,,,,,,,,
146,14,3,,,,,,,,,,,,,
147,11,10,,,,,,,,,,,,,
147,12,10,,,,,,,,,,,,,
148,1,1,1,60000,,,,,,,,,,,
148,4,1,1,60000,,,,,,,,,,,
149,1,1,,,,,,,,,,,,,
149,2,1,,,,,,,,,,,,,
149,11,7,,,,,,,,,,,,,
149,12,7,,,,,,,,,,,,,
150,11,9,,,,,,,,,,,,,
150,12,9,,,,,,,,,,,,,
152,11,16,,,,,,,,,,,,,
152,12,11,,,,,,,,,,,,,
153,1,1,1,300000,,,,,,,,,,,
153,2,1,1,300000,,,,,,,,,,,
153,11,10,,,,,,,,,,,,,
153,12,9,,,,,,,,,,,,,
154,11,10,,,,,5,,,8,16000,,,,2
154,12,10,,,,,5,,,8,16000,,,,2
158,11,15,,,,,3,,,5,7500,,,,
158,12,15,,,,,3,,,5,7500,,,,
159,11,9,,,,,,,,,,,,,
159,12,9,,,,,,,,,,,,,
163,11,20,,,,,7,,,8.4,12550,,,,
163,12,16,,,,,,,,,,,,,
173,6,10,,,20,700000,10,375,1050000,20,56000,2,,,5
173,7,2,,,,,,,,,,,,,
173,8,8,,,20,700000,10,375,1050000,20,56000,2,,,5
173,11,10,,,,,10,,,20,34000,,,,4
173,12,10,,,,,10,,,20,34000,,,,4
174,11,25,,,,,8,,,16,27000,,,,
174,12,25,,,,,8,,,16,27000,,,,
176,6,22,,,10,300000,,,,,,2,,,
176,7,2,,,,,,,,,,,,,
176,8,20,,,10,300000,,,,,,2,,,
176,11,25,,,,,10,,,15,25500,,,,
176,12,25,,,,,10,,,15,25500,,,,
178,11,30,,,,,10,,,20,34000,,,,
178,12,30,,,,,10,,,20,34000,,,,
179,11,25,,,,,10,,,15,25500,,,,
179,12,20,,,,,10,,,15,25500,,,,
184,1,7,,,,,,,,,,,,,
184,2,2,,,,,,,,,,,,,
184,4,5,,,,,,,,,,,,,
186,1,2,,,,,,,,,,,,,
186,2,2,,,,,,,,,,,,,
186,11,18,,,,,,,,,,,,,
186,12,18,,,,,,,,,,,,,
189,1,4,,,,,,,,,,,,,
189,2,1,,,,,,,,,,,,,
189,4,3,,,,,,,,,,,,,
189,11,16,,,,,,,,,,,,,
189,12,15,,,,,,,,,,,,,
195,1,2,,,,,,,,,,,,,
195,2,1,,,,,,,,,,,,,
195,4,1,,,,,,,,,,,,,
220,1,2,,,1,150000,,,,,,2,,,
220,2,1,,,,,,,,,,,,,
220,3,,,,1,150000,,,,,,2,,,
220,4,1,,,,,,,,,,,,,
220,11,8,,,,,,,,,,,,,
220,12,8,,,,,,,,,,,,,
222,1,2,,,,,1,110,253000,10,23000,2,,,
222,2,1,,,,,,,,,,,,,
222,3,,,,,,1,110,253000,10,23000,2,,,
222,4,1,,,,,,,,,,,,,
222,11,10,,,,,,,,,,,,,
222,12,10,,,,,,,,,,,,,
242,1,6,,,2,160000,,,,,,2,,,
242,2,4,,,,,,,,,,,,,
242,4,2,,,2,160000,,,,,,2,,,
242,6,1,,,1,90000,,,,,,2,,,
242,8,1,,,1,90000,,,,,,2,,,
242,9,10,,,,,,,,,,,,,
242,11,10,,,,,10,,,10,10000,,,,
242,12,10,,,,,10,,,10,10000,,,,
242,13,22,,,10,60000,15,,,35,60000,2,,,
242,14,22,,,10,60000,15,,,35,60000,2,,,
264,1,5,,,,,,,,,,,,,
264,2,3,,,,,,,,,,,,,
264,4,2,,,,,,,,,,,,,
264,19,8,,,,,,,,,,,,,
265,1,2,,,,,,,,,,,,,
265,2,1,,,,,,,,,,,,,
265,4,1,,,,,,,,,,,,,
265,10,1,,,,,,,,,,,,,
266,1,2,,,,,,,,,,,,,
266,2,1,,,,,,,,,,,,,
266,4,1,,,,,,,,,,,,,
266,6,3,,,,,,,,,,,,,
266,8,3,,,,,,,,,,,,,
266,11,5,,,,,,,,,,,,,
266,12,5,,,,,,,,,,,,,
266,19,10,,,,,,,,,,,,,
268,1,2,,,,,,,,,,,,,
268,2,1,,,,,,,,,,,,,
268,4,1,,,,,,,,,,,,,
268,11,5,,,,,3,,,5,9000,,,,
268,12,5,,,,,3,,,5,9000,,,,
269,1,7,,,,,1,,,60,140000,,,,20
269,2,4,,,,,,,,,,,,,
269,4,3,,,,,1,,,60,140000,,,,20
269,6,,,,,,1,,,50,150000,,,,10
269,8,,,,,,1,,,50,150000,,,,10
269,11,8,,,,,3,,,5,9000,,,,
