"recno","weight"
1,21.4814814814815
2,21.4814814814815
3,21.4814814814815
4,21.4814814814815
5,21.4814814814815
6,21.4814814814815
7,21.4814814814815
8,21.4814814814815
9,21.4814814814815
10,247.472222222222
11,247.472222222222
12,247.472222222222
13,247.472222222222
14,247.472222222222
15,247.472222222222
16,247.472222222222
17,247.472222222222
18,247.472222222222
19,164.703703703704
20,164.703703703704
21,164.703703703704
22,164.703703703704
23,164.703703703704
24,164.703703703704
25,164.703703703704
26,164.703703703704
27,164.703703703704
28,24.0277777777778
29,24.0277777777778
30,24.0277777777778
31,24.0277777777778
32,24.0277777777778
33,24.0277777777778
34,24.0277777777778
35,24.0277777777778
36,24.0277777777778
37,326.87962962963
38,326.87962962963
39,326.87962962963
40,326.87962962963
41,326.87962962963
42,326.87962962963
43,326.87962962963
44,326.87962962963
45,326.87962962963
46,92.6574074074074
47,92.6574074074074
48,92.6574074074074
49,92.6574074074074
50,92.6574074074074
51,92.6574074074074
52,92.6574074074074
53,92.6574074074074
54,92.6574074074074
55,294.296296296296
56,294.296296296296
57,294.296296296296
58,294.296296296296
59,294.296296296296
60,294.296296296296
61,294.296296296296
62,294.296296296296
63,294.296296296296
64,164.703703703704
65,164.703703703704
66,164.703703703704
67,164.703703703704
68,164.703703703704
69,164.703703703704
70,164.703703703704
71,164.703703703704
72,164.703703703704
73,118.388888888889
74,118.388888888889
75,118.388888888889
76,118.388888888889
77,118.388888888889
78,118.388888888889
79,118.388888888889
80,118.388888888889
81,118.388888888889
82,254.351851851852
83,254.351851851852
84,254.351851851852
85,254.351851851852
86,254.351851851852
87,254.351851851852
88,254.351851851852
89,254.351851851852
90,254.351851851852
91,173.953703703704
92,173.953703703704
93,173.953703703704
94,173.953703703704
95,173.953703703704
96,173.953703703704
97,173.953703703704
98,173.953703703704
99,173.953703703704
100,310.212962962963
101,310.212962962963
102,310.212962962963
103,310.212962962963
104,310.212962962963
105,310.212962962963
106,310.212962962963
107,310.212962962963
108,310.212962962963
109,317.287037037037
110,317.287037037037
111,317.287037037037
112,317.287037037037
113,317.287037037037
114,317.287037037037
115,317.287037037037
116,317.287037037037
117,317.287037037037
118,76.8796296296296
