recno,date,region,household_size,area_type,weight,year,household_has_special_education_children,housing_type,dwelling_ownership,number_of_rooms,dwelling_space_sqm,moved_last_5_years,has_centralized_water,has_hot_water,has_centralized_sanitation,has_local_sanitation,has_outside_toilet,has_gas,has_bathtub_shower,has_kitchen,has_telephone,has_radio,has_electricity,has_mobile,has_computer,has_internet,water_source,water_tap_location,potable_water_hours_day,potable_water_24h,main_heating_energy,heating_spend_last_winter_amd,garbage_disposal,complaint_floor_space,complaint_noise,complaint_light,complaint_heating,complaint_humidity,complaint_leaking_roof,complaint_walls_floor,complaint_windows_doors,complaint_traffic,complaint_pollution,complaint_elevator,complaint_water_supply,complaint_garbage,complaint_common_areas,complaint_green_areas,complaint_other,dwelling_condition_estimate,dwelling_renovated,building_new_house,has_other_dwelling,any_member_household_own_work,engaged_cattle_breeding,id_number_household_member_who_11,household_sent_money_goods_12m,household_received_money_goods_12m,lent_money_12m,family_debt_amount,borrowed_money_12m,registered_poverty_benefit,reason_not_registered_benefit,benefit_system_justified,share_families_really_vulnerable,humanitarian_assistance_12m,money_family_need_monthly_live,drm_in_amd,drm_in_amd_2,money_family_need_monthly_make,amd_3,household_has_car,eligible_salary_pension_not_received,hired_household_workers_12m,food_which_usually_consumed_daily,food_which_usually_consumed_daily_2,food_which_usually_consumed_daily_3,food_which_usually_consumed_daily_5,food_which_usually_consumed_daily_8,sample_weight,household_member_count,household_mean_age,household_income_total,household_income_source_count,food_purchases_total,services_goods_total,goods_services_total
745,2,7,3,1,199.569444444444,2015,2,2,1,2.0,56.0,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1.0,28.0,24.0,2,50000.0,1,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,3,3,2,4,2,2,3.0,2,1,2,0,2,4,3.0,4,6,2,0,300000,100000,1.0,100000.0,2,2,2,0.4,60.0,0.4,80.0,50.0,199.569444444444,3,66.0,110000.0,2.0,183413.1,131749.0,745.0
746,2,7,3,1,199.569444444444,2015,2,2,1,3.0,78.0,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1.0,28.0,24.0,3,130000.0,1,2,2,2,1,2,2,2,2,2,2,3,2,2,2,1,2,3,3,2,4,2,2,1.0,2,1,2,0,2,1,,4,6,2,0,0,150000,1.0,150000.0,2,2,2,0.5,50.0,0.4,60.0,40.0,199.569444444444,3,20.333333333333332,83000.0,3.0,210784.45,315168.0,749.0
747,2,7,1,1,199.569444444444,2015,2,2,1,2.0,56.0,2,1,2,1,2,2,1,3,1,1,2,1,2,2,2,1,1.0,28.0,24.0,3,70000.0,1,2,2,2,1,2,1,2,2,2,2,3,2,2,2,2,2,4,3,2,4,2,2,,2,2,2,0,2,4,6.0,2,5,2,0,100000,40000,1.0,40000.0,2,2,2,0.2,10.0,0.1,30.0,20.0,199.569444444444,1,78.0,49000.0,1.0,90438.6,59619.0,755.0
748,2,8,1,1,185.768518518519,2015,2,2,1,2.0,68.0,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1.0,28.0,24.0,3,65000.0,1,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,2,4,2,2,1.0,2,2,2,0,2,4,7.0,4,6,2,0,0,100000,1.0,100000.0,2,2,2,0.5,50.0,0.3,20.0,10.0,185.768518518519,1,75.0,44000.0,1.0,119610.85,111760.0,751.0
749,2,8,6,1,185.768518518519,2015,2,2,1,3.0,78.0,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1.0,28.0,24.0,3,200000.0,1,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,4,2,2,4.0,2,2,2,0,2,4,7.0,4,6,2,0,0,0,,,2,2,2,1.0,80.0,0.5,5.0,10.0,185.768518518519,6,34.833333333333336,119000.0,3.0,214979.86,225876.0,745.0
750,2,8,6,1,185.768518518519,2015,2,2,1,3.0,80.0,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1.0,28.0,24.0,3,180000.0,1,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,4,2,2,4.0,2,2,2,0,2,4,7.0,4,6,2,0,1000,700,3.0,334873.0,2,2,2,1.0,50.0,0.8,10.0,20.0,185.768518518519,6,46.333333333333336,161000.0,3.0,192679.1,249840.0,747.0
751,2,8,1,1,185.768518518519,2015,2,2,1,1.0,42.0,2,1,1,1,2,2,1,1,1,2,2,1,1,2,2,1,1.0,28.0,24.0,3,60000.0,1,2,2,2,1,2,2,2,2,2,3,3,2,2,2,2,2,3,3,2,4,2,2,1.0,2,2,2,0,2,4,7.0,3,6,2,500000,400000,200000,1.0,200000.0,2,2,2,0.5,30.0,0.2,3.0,10.0,185.768518518519,1,65.0,44000.0,1.0,71317.9,85652.0,750.0
752,2,8,4,1,185.768518518519,2015,2,2,1,3.0,80.0,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1.0,28.0,24.0,3,220000.0,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,4,2,2,2.0,2,2,2,0,2,4,7.0,4,6,2,1500,1200,1000,3.0,478390.0,2,2,2,1.0,80.0,1.0,5.0,10.0,185.768518518519,4,39.25,120000.0,1.0,185632.38,306524.0,746.0
753,2,8,3,1,185.768518518519,2015,2,2,1,2.0,62.0,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1.0,28.0,24.0,3,125000.0,1,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,2,4,2,2,2.0,2,2,2,0,2,4,7.0,4,6,2,0,0,0,,,2,2,2,0.5,80.0,0.5,5.0,10.0,185.768518518519,3,45.0,265000.0,3.0,162669.41,154954.0,746.0
754,2,8,6,1,185.768518518519,2015,2,2,2,3.0,81.0,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1.0,28.0,24.0,3,250000.0,1,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,4,2,2,4.0,2,2,2,0,2,4,7.0,4,6,2,0,450000,400000,1.0,400000.0,2,2,2,1.0,80.0,1.5,10.0,10.0,185.768518518519,6,46.333333333333336,238000.0,6.0,178948.0,531538.0,746.0
755,2,8,4,1,185.768518518519,2015,2,2,1,3.0,81.0,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1.0,28.0,24.0,3,220000.0,1,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,4,2,2,2.0,2,2,2,0,2,4,7.0,4,6,2,0,400000,300000,1.0,300000.0,2,2,2,0.5,80.0,0.7,5.0,10.0,185.768518518519,4,30.75,100000.0,2.0,228031.9,329111.0,746.0
756,2,8,2,1,185.768518518519,2015,2,2,1,1.0,42.0,2,1,1,1,2,2,1,1,1,2,1,1,1,2,2,1,1.0,28.0,24.0,3,100000.0,1,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,3,3,2,4,2,2,2.0,2,2,2,0,2,4,7.0,4,6,2,0,0,150000,1.0,150000.0,2,2,2,0.5,80.0,0.3,3.0,10.0,185.768518518519,2,65.0,66000.0,2.0,136216.59,96048.0,751.0
757,2,8,4,2,126.657407407407,2015,2,1,1,3.0,100.0,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1.0,28.0,9.0,3,230000.0,1,2,2,2,2,2,2,2,2,2,3,3,1,1,3,2,2,2,2,2,4,1,2,2.0,2,1,2,0,2,4,3.0,4,6,2,0,800000,300000,1.0,300000.0,1,2,2,0.5,15.0,0.6,20.0,100.0,126.657407407407,4,28.5,15000.0,1.0,111033.4,176657.0,748.0
758,2,8,3,2,126.657407407407,2015,2,1,1,4.0,110.0,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1.0,28.0,9.0,6,180000.0,1,2,2,2,2,2,2,2,2,2,3,3,1,1,3,2,2,2,2,2,4,1,1,2.0,2,1,2,0,2,4,1.0,4,6,2,0,500000,200000,1.0,200000.0,2,2,2,0.7,20.0,0.5,15.0,100.0,126.657407407407,3,43.0,70000.0,2.0,34323.95,88831.0,749.0
759,2,8,4,2,126.657407407407,2015,2,1,1,5.0,210.0,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1.0,28.0,9.0,6,200000.0,1,2,2,2,2,2,2,2,2,2,3,3,1,1,3,2,2,2,2,2,4,1,1,2.0,2,1,2,0,2,4,1.0,4,6,2,900000,600000,200000,1.0,200000.0,1,2,2,1.0,20.0,1.0,20.0,150.0,126.657407407407,4,37.75,95000.0,2.0,118471.92,140750.0,747.0
760,2,8,4,2,126.657407407407,2015,2,1,1,4.0,150.0,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1.0,28.0,10.0,3,230000.0,1,2,2,2,2,2,2,2,2,2,3,3,1,1,3,2,2,2,2,2,4,1,1,2.0,2,1,2,0,2,4,3.0,4,6,2,0,500000,250000,1.0,250000.0,1,2,2,0.7,15.0,0.6,20.0,100.0,126.657407407407,4,26.75,85000.0,2.0,73044.525,223505.0,746.0
761,2,8,6,2,126.657407407407,2015,2,1,1,4.0,220.0,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1.0,28.0,10.0,3,200000.0,1,2,2,2,2,2,2,2,2,2,3,3,1,1,3,2,2,2,2,2,4,1,1,1.0,2,2,2,1500000,1,4,1.0,4,6,2,0,600000,200000,1.0,200000.0,1,2,2,1.0,30.0,1.0,30.0,200.0,126.657407407407,6,35.5,167000.0,4.0,57700.2,273246.0,744.0
762,2,8,4,2,126.657407407407,2015,2,1,1,4.0,120.0,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1.0,28.0,10.0,6,160000.0,1,2,2,2,2,2,2,2,2,2,3,3,1,1,3,2,2,2,2,2,4,1,2,2.0,2,1,2,0,2,1,,4,6,2,800000,400000,250000,1.0,250000.0,2,2,2,0.7,15.0,0.4,20.0,100.0,126.657407407407,4,21.25,78000.0,2.0,125785.22,112030.0,748.0
763,2,8,6,2,126.657407407407,2015,2,1,1,4.0,110.0,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1.0,28.0,10.0,6,180000.0,1,2,2,1,2,2,2,2,2,2,2,3,1,1,3,2,2,2,2,2,4,1,1,2.0,2,1,2,0,2,4,1.0,4,6,2,0,800000,300000,1.0,300000.0,1,2,2,1.0,25.0,0.8,20.0,150.0,126.657407407407,6,31.833333333333332,25000.0,2.0,85732.4,157214.0,746.0
764,2,8,3,2,126.657407407407,2015,2,1,1,3.0,120.0,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1.0,28.0,9.0,3,180000.0,1,2,2,2,2,2,2,2,2,2,2,3,1,1,3,2,2,2,2,2,4,1,2,2.0,2,2,2,0,2,4,3.0,4,6,2,0,600000,200000,1.0,200000.0,1,2,2,0.5,15.0,0.6,20.0,100.0,126.657407407407,3,31.0,120000.0,2.0,96026.75,226651.0,748.0
765,2,8,3,2,126.657407407407,2015,2,1,1,4.0,140.0,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1.0,28.0,9.0,6,200000.0,1,2,2,2,2,2,2,2,2,2,3,3,1,1,3,2,2,3,2,2,4,1,2,2.0,2,2,2,0,2,4,3.0,4,6,2,0,500000,200000,1.0,200000.0,2,2,2,0.5,20.0,0.7,20.0,150.0,126.657407407407,3,54.666666666666664,122000.0,2.0,80699.8,93404.0,749.0
766,2,8,4,1,185.768518518519,2015,2,1,3,3.0,76.0,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1.0,25.0,18.0,6,165000.0,1,2,2,2,1,2,2,2,2,3,3,3,2,2,1,1,2,3,2,2,4,2,2,2.0,2,2,2,120000,1,4,1.0,1,1,2,1000000,400000,120000,1.0,120000.0,2,2,2,1.0,40.0,0.8,80.0,30.0,185.768518518519,4,18.25,161000.0,2.0,140998.6,159412.5,520749.0
767,2,8,6,1,185.768518518519,2015,2,2,1,3.0,78.0,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1.0,26.0,20.0,3,250000.0,1,1,2,2,1,2,2,2,2,3,3,3,2,2,1,1,2,3,2,2,4,2,2,2.0,2,1,2,0,2,4,3.0,3,6,2,1400000,600000,120000,1.0,120000.0,2,2,2,1.0,50.0,1.0,60.0,30.0,185.768518518519,6,31.333333333333332,75300.0,2.0,270251.65,223632.0,742.0
768,2,8,5,1,185.768518518519,2015,2,2,1,2.0,47.0,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1.0,26.0,20.0,3,180000.0,1,2,2,2,1,2,2,2,2,3,3,3,2,2,1,1,2,3,2,2,4,2,2,2.0,2,1,2,0,2,4,3.0,1,2,2,1500000,500000,100000,1.0,100000.0,2,2,2,1.0,40.0,1.0,80.0,30.0,185.768518518519,5,32.4,62200.0,2.0,173729.55,148812.5,746.0
769,2,8,1,1,185.768518518519,2015,2,2,1,1.0,37.0,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1.0,25.0,20.0,3,95000.0,1,2,2,2,1,2,2,2,2,3,3,3,2,2,1,1,2,3,2,2,4,2,2,1.0,2,2,2,0,2,4,1.0,3,6,2,500000,200000,50000,1.0,50000.0,2,2,2,0.3,20.0,0.3,20.0,10.0,185.768518518519,1,55.0,85000.0,1.0,136697.65,125578.0,749.0
770,2,8,3,1,185.768518518519,2015,2,2,1,2.0,48.0,2,1,1,1,2,2,1,1,1,1,2,1,1,2,2,1,1.0,25.0,18.0,6,160000.0,1,2,2,2,1,2,2,1,2,3,3,3,2,2,2,1,2,3,2,2,4,2,2,2.0,2,1,2,0,2,2,,4,2,2,800000,300000,80000,1.0,80000.0,2,2,2,0.5,20.0,0.5,40.0,30.0,185.768518518519,3,47.0,118000.0,2.0,139879.6,106517.0,751.0
771,2,8,6,1,185.768518518519,2015,2,1,1,4.0,115.0,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1.0,27.0,21.0,3,215000.0,1,2,2,2,1,1,2,2,2,3,3,3,2,2,3,3,2,3,2,2,2,1,2,2.0,2,1,2,60000,1,4,3.0,2,1,2,1400000,600000,200000,1.0,200000.0,1,2,2,1.0,40.0,1.0,100.0,30.0,185.768518518519,6,28.666666666666668,190200.0,3.0,141670.5,145458.0,280747.0
772,2,8,6,1,185.768518518519,2015,2,1,1,4.0,120.0,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1.0,25.0,20.0,6,190000.0,1,2,2,2,1,1,2,2,2,3,3,3,2,2,3,3,2,3,2,2,1,1,2,3.0,2,1,2,0,2,4,3.0,4,1,2,900000,500000,200000,1.0,200000.0,1,2,2,1.0,40.0,0.8,80.0,30.0,185.768518518519,6,40.0,177000.0,3.0,116553.65,144760.0,740.0
773,2,8,1,1,185.768518518519,2015,2,2,1,1.0,37.0,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1.0,26.0,20.0,3,170000.0,1,2,2,2,1,2,2,2,2,3,3,3,2,2,1,1,2,2,2,2,4,2,2,1.0,2,1,2,500000,1,4,3.0,1,6,2,0,500000,90000,1.0,90000.0,1,2,2,0.5,20.0,0.5,300.0,20.0,185.768518518519,1,64.0,79000.0,2.0,119385.7,152858.0,2400750.0
774,2,8,5,1,185.768518518519,2015,2,2,1,2.0,48.0,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1.0,25.0,20.0,6,180000.0,1,2,2,2,1,2,2,2,2,3,3,3,2,2,1,1,2,3,2,2,2,2,2,1.0,2,1,2,0,2,4,3.0,4,2,2,1000000,500000,100000,1.0,100000.0,2,2,2,0.5,30.0,0.5,60.0,10.0,185.768518518519,5,25.2,100100.0,3.0,120138.67,163412.0,748.0
775,2,8,3,2,126.657407407407,2015,2,1,1,2.0,70.0,2,1,2,2,1,1,2,1,1,1,2,1,1,2,2,1,1.0,28.0,24.0,6,50000.0,5,2,2,2,1,2,2,1,2,2,3,3,2,1,3,2,2,3,3,2,4,1,1,2.0,2,2,2,150000,1,4,3.0,3,6,2,30000,100000,20000,1.0,20000.0,2,2,2,1.3,5.0,0.2,20.0,20.0,126.657407407407,3,39.333333333333336,70000.0,1.0,36173.7,111634.0,751.0
776,2,8,4,2,126.657407407407,2015,2,1,1,3.0,120.0,2,1,2,2,1,1,2,1,1,2,2,1,1,2,2,1,1.0,28.0,24.0,6,63000.0,5,2,2,2,1,2,2,1,2,2,3,3,2,1,3,2,2,3,3,2,4,1,2,2.0,2,1,2,0,2,1,,3,6,2,400000,200000,80000,1.0,80000.0,2,2,2,1.8,10.0,0.25,30.0,30.0,126.657407407407,4,22.25,28000.0,1.0,33846.5,100029.0,752.0
777,2,8,5,2,126.657407407407,2015,2,1,1,3.0,110.0,2,1,2,2,1,1,2,1,1,1,2,1,1,2,2,1,1.0,28.0,24.0,6,65000.0,5,2,2,2,1,2,2,1,2,2,3,3,2,1,3,2,2,3,3,2,4,1,2,2.0,2,2,2,0,2,1,,1,1,2,500000,300000,100000,1.0,100000.0,2,2,2,1.8,15.0,0.2,30.0,30.0,126.657407407407,5,21.6,59000.0,2.0,43077.8,112379.0,752.0
778,2,8,6,2,126.657407407407,2015,2,1,1,4.0,120.0,2,1,2,2,1,1,2,1,1,1,2,1,1,2,2,1,1.0,28.0,24.0,6,70000.0,5,2,2,2,1,2,2,2,2,2,3,3,2,1,3,2,2,3,2,2,4,1,1,2.0,2,1,2,0,2,1,,1,1,2,500000,250000,100000,1.0,100000.0,2,2,2,2.5,15.0,0.3,35.0,30.0,126.657407407407,6,25.5,42000.0,1.0,32988.1,93001.0,751.0
779,2,8,5,2,126.657407407407,2015,2,1,1,3.0,90.0,2,1,2,2,1,1,2,1,1,2,2,1,1,2,2,1,1.0,28.0,24.0,6,70000.0,5,2,2,2,1,2,2,1,2,2,3,3,2,1,3,2,2,3,3,2,4,1,1,2.0,2,2,2,150000,1,4,6.0,2,2,2,500000,250000,100000,1.0,100000.0,2,2,2,2.0,15.0,0.25,35.0,30.0,126.657407407407,5,21.4,27000.0,1.0,32631.9,116942.0,754.0
780,2,8,4,2,126.657407407407,2015,2,1,1,3.0,110.0,2,1,2,2,1,1,2,1,1,2,2,1,1,2,2,1,1.0,28.0,24.0,6,60000.0,5,2,2,2,1,2,2,1,2,2,3,3,2,1,3,2,2,3,3,2,4,1,2,2.0,2,1,2,0,2,1,,1,1,2,300000,200000,80000,1.0,80000.0,2,2,2,1.6,10.0,0.25,25.0,20.0,126.657407407407,4,13.5,28000.0,1.0,75670.4,87601.0,749.0
781,2,8,6,2,126.657407407407,2015,2,1,1,3.0,110.0,2,1,2,2,1,1,2,1,1,1,2,1,1,2,2,1,1.0,28.0,24.0,6,65000.0,5,2,2,2,1,2,2,1,2,2,3,3,2,1,3,2,2,3,2,2,4,1,2,2.0,2,1,2,0,2,1,,1,1,2,600000,300000,100000,1.0,100000.0,2,2,2,2.7,20.0,0.35,35.0,30.0,126.657407407407,6,39.166666666666664,52000.0,2.0,47644.35,138159.0,751.0
782,2,8,4,2,126.657407407407,2015,2,1,1,3.0,100.0,2,1,2,2,1,1,2,1,1,2,2,1,1,2,2,1,1.0,28.0,24.0,6,70000.0,5,2,2,2,1,2,2,2,2,2,3,3,2,1,3,2,2,3,2,2,4,1,2,2.0,2,1,2,0,2,1,,1,1,2,400000,200000,100000,1.0,100000.0,2,2,2,1.8,10.0,0.2,30.0,25.0,126.657407407407,4,20.25,28000.0,1.0,39749.8,97352.0,752.0
783,2,8,6,2,126.657407407407,2015,2,1,1,3.0,110.0,2,1,2,2,1,1,2,1,1,2,2,1,1,2,2,1,1.0,28.0,24.0,6,65000.0,5,2,2,2,1,2,2,1,2,2,3,3,2,1,3,2,2,3,3,2,4,1,2,2.0,2,2,2,0,2,1,,1,1,2,500000,100000,25000,1.0,25000.0,2,2,2,2.0,,0.3,35.0,30.0,126.657407407407,6,24.666666666666668,72000.0,3.0,59098.2,130226.0,752.0
784,2,9,6,1,117.453703703704,2015,2,2,1,3.0,72.0,2,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1.0,28.0,24.0,2,225000.0,2,1,1,2,2,2,2,2,2,1,1,2,2,2,1,1,2,4,3,2,4,2,2,2.0,2,2,2,0,2,4,1.0,4,6,2,0,2000000,350000,1.0,350000.0,1,2,2,1.7,40.0,0.3,10.0,100.0,117.453703703704,6,34.833333333333336,361500.0,3.0,121492.7,352017.0,745.0
785,2,9,7,1,117.453703703704,2015,2,1,1,2.0,62.0,2,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1.0,28.0,24.0,2,200000.0,2,1,1,2,2,2,2,2,2,1,1,2,2,2,3,1,2,4,2,2,4,2,2,2.0,2,2,2,50000,1,4,3.0,3,6,2,0,3000000,380000,1.0,380000.0,2,2,2,1.6,20.0,0.2,20.0,50.0,117.453703703704,7,29.0,481000.0,3.0,106176.75,176645.0,748.0
786,2,9,2,1,117.453703703704,2015,2,2,1,3.0,72.0,2,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1.0,28.0,24.0,2,75000.0,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,1,2,3,2,2,4,1,2,2.0,2,2,2,0,2,4,3.0,3,6,2,1000000,400000,160000,1.0,160000.0,2,2,2,0.5,,0.4,30.0,100.0,117.453703703704,2,57.5,160000.0,2.0,106430.86,116348.0,749.0
787,2,9,2,1,117.453703703704,2015,2,2,4,3.0,72.0,2,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1.0,28.0,24.0,2,60000.0,2,2,2,2,1,2,2,2,2,1,2,2,2,2,3,1,2,3,2,2,4,2,2,2.0,1,2,2,0,2,4,3.0,3,2,2,0,0,0,,,2,2,2,0.9,30.0,0.3,10.0,100.0,117.453703703704,2,57.5,88000.0,2.0,87968.2,119381.0,750.0
788,2,9,1,1,117.453703703704,2015,2,2,1,2.0,62.0,2,1,1,1,2,2,2,1,1,2,2,1,1,2,2,1,1.0,28.0,24.0,2,50000.0,2,2,1,2,1,2,2,2,2,1,1,2,2,2,3,1,2,2,2,2,4,2,2,1.0,2,2,2,500000,1,4,3.0,4,6,2,1500000,500000,100000,1.0,100000.0,1,2,2,0.4,20.0,0.2,10.0,30.0,117.453703703704,1,30.0,90000.0,1.0,67195.18,94610.0,3000751.0
789,2,9,5,1,117.453703703704,2015,2,2,1,3.0,72.0,2,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1.0,28.0,24.0,2,120000.0,2,1,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,4,2,2,4,1,2,2.0,1,2,2,35000,1,4,3.0,4,4,2,6000,3000,0,,,2,2,2,1.0,10.0,0.3,,100.0,117.453703703704,5,35.0,275000.0,3.0,86255.7,83076.0,749.0
790,2,9,2,1,117.453703703704,2015,2,2,3,2.0,62.0,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1.0,28.0,24.0,2,25000.0,2,2,1,2,1,1,2,2,2,2,2,2,2,2,1,1,2,3,3,2,4,2,2,,2,1,2,108000,1,4,3.0,4,5,2,2000000,600000,90000,1.0,90000.0,2,2,2,0.7,20.0,0.3,10.0,100.0,117.453703703704,2,23.0,95000.0,1.0,80613.1,68154.0,280754.0
791,2,9,2,1,117.453703703704,2015,2,2,1,3.0,72.0,2,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1.0,28.0,24.0,2,80000.0,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,4,2,2,2.0,2,1,2,0,2,4,3.0,4,6,2,600000,200000,0,,,2,2,2,0.7,100.0,0.2,15.0,50.0,117.453703703704,2,64.5,65600.0,2.0,151003.0,85194.0,750.0
792,2,9,5,1,117.453703703704,2015,2,2,1,2.0,62.0,2,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1.0,28.0,24.0,2,100000.0,2,1,1,1,2,2,2,2,2,1,1,2,2,2,1,2,2,4,2,2,4,1,2,3.0,2,2,2,0,1,4,3.0,3,6,2,2000000,1000000,200000,1.0,200000.0,2,2,2,1.3,150.0,0.3,20.0,100.0,117.453703703704,5,40.4,163800.0,2.0,106640.0,104266.0,748.0
793,2,9,1,2,117.314814814815,2015,2,1,1,2.0,70.0,2,1,2,1,2,1,2,1,1,2,2,1,1,2,2,1,1.0,28.0,24.0,6,50000.0,4,2,2,2,2,2,2,2,2,2,2,3,2,1,3,2,2,3,2,2,4,1,1,1.0,2,2,2,0,2,4,3.0,4,2,2,5000,1000,60000,1.0,60000.0,2,2,2,0.6,30.0,0.25,,50.0,117.314814814815,1,58.0,60000.0,1.0,35236.3,36922.0,754.0
794,2,9,4,2,117.314814814815,2015,2,1,1,4.0,115.0,2,1,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1.0,28.0,24.0,9,25000.0,4,2,2,2,2,2,2,2,2,2,2,3,2,1,3,2,2,3,2,2,4,1,1,1.0,2,2,2,300000,1,4,3.0,3,2,2,0,0,200000,1.0,200000.0,1,2,2,1.0,40.0,0.3,,80.0,117.314814814815,4,40.0,560000.0,3.0,47034.15,112913.0,750.0
795,2,9,4,2,117.314814814815,2015,2,1,1,5.0,150.0,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1.0,28.0,24.0,9,20000.0,4,2,2,2,2,2,2,2,2,2,2,3,2,1,3,2,2,3,2,2,4,1,1,2.0,2,2,2,0,2,4,3.0,3,2,2,10000,2000000,200000,1.0,200000.0,1,2,2,1.3,50.0,0.4,,70.0,117.314814814815,4,56.5,399000.0,3.0,69570.5,179091.0,748.0
796,2,9,4,2,117.314814814815,2015,2,1,1,4.0,125.0,2,1,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1.0,28.0,24.0,9,20000.0,4,2,2,2,2,2,2,2,2,2,2,3,2,1,3,2,2,3,2,2,4,1,1,2.0,2,2,2,0,2,4,3.0,3,2,2,10000,1800000,260000,1.0,260000.0,1,2,2,1.2,40.0,0.35,,70.0,117.314814814815,4,55.5,361000.0,3.0,45055.3,151198.0,751.0
797,2,9,4,2,117.314814814815,2015,2,1,1,5.0,140.0,2,1,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1.0,28.0,24.0,9,24000.0,4,2,2,2,2,2,2,2,2,2,2,3,2,1,3,2,2,3,2,2,4,1,1,1.0,2,2,2,0,2,4,3.0,4,2,2,15000,5000,400,3.0,191356.0,1,2,2,1.0,50.0,0.4,,80.0,117.314814814815,4,33.0,710000.0,3.0,59476.25,162213.0,750.0
798,2,9,2,2,117.314814814815,2015,2,1,1,3.0,95.0,2,1,2,1,2,1,2,1,1,2,2,1,1,2,2,1,1.0,28.0,24.0,9,7.0,4,2,2,2,2,2,2,2,2,2,2,3,2,1,3,2,2,3,2,2,4,1,1,1.0,2,2,2,0,2,4,3.0,3,2,2,10000,2000,100000,1.0,100000.0,2,2,2,0.7,30.0,0.3,,70.0,117.314814814815,2,48.5,166000.0,2.0,27170.0,12241.0,752.0
799,2,9,6,2,117.314814814815,2015,2,1,1,5.0,150.0,2,1,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1.0,28.0,24.0,9,30000.0,4,2,2,2,2,2,2,2,2,2,2,3,2,1,3,2,2,3,2,2,4,1,1,3.0,2,2,2,0,2,4,3.0,3,2,2,10000,3000,500,3.0,239195.0,1,2,2,1.0,50.0,0.6,,80.0,117.314814814815,6,39.0,480000.0,4.0,69237.9,133592.0,749.0
800,2,9,5,2,117.314814814815,2015,2,1,1,5.0,150.0,2,1,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1.0,28.0,24.0,9,25000.0,4,2,2,2,2,2,2,2,2,2,2,3,2,1,3,2,2,3,2,2,4,1,1,2.0,2,1,2,0,2,4,1.0,2,2,2,3000000,800000,150000,1.0,150000.0,1,2,2,1.2,30.0,0.3,,70.0,117.314814814815,5,28.6,115300.0,3.0,34267.1,91192.0,749.0
