recno,date,region,household_size,area_type,weight,year,household_has_special_education_children,housing_type,dwelling_ownership,number_of_rooms,dwelling_space_sqm,moved_last_5_years,has_centralized_water,has_hot_water,has_centralized_sanitation,has_local_sanitation,has_outside_toilet,has_gas,has_bathtub_shower,has_kitchen,has_telephone,has_radio,has_electricity,has_mobile,has_computer,has_internet,water_source,water_tap_location,potable_water_hours_day,potable_water_24h,main_heating_energy,heating_spend_last_winter_amd,garbage_disposal,complaint_floor_space,complaint_noise,complaint_light,complaint_heating,complaint_humidity,complaint_leaking_roof,complaint_walls_floor,complaint_windows_doors,complaint_traffic,complaint_pollution,complaint_elevator,complaint_water_supply,complaint_garbage,complaint_common_areas,complaint_green_areas,complaint_other,dwelling_condition_estimate,dwelling_renovated,building_new_house,has_other_dwelling,any_member_household_own_work,engaged_cattle_breeding,id_number_household_member_who_11,household_sent_money_goods_12m,household_received_money_goods_12m,lent_money_12m,family_debt_amount,borrowed_money_12m,registered_poverty_benefit,reason_not_registered_benefit,benefit_system_justified,share_families_really_vulnerable,humanitarian_assistance_12m,money_family_need_monthly_live,drm_in_amd,drm_in_amd_2,money_family_need_monthly_make,amd_3,household_has_car,eligible_salary_pension_not_received,hired_household_workers_12m,food_which_usually_consumed_daily,food_which_usually_consumed_daily_2,food_which_usually_consumed_daily_3,food_which_usually_consumed_daily_5,food_which_usually_consumed_daily_8,sample_weight,household_member_count,household_mean_age,household_income_total,household_income_source_count,food_purchases_total,services_goods_total,goods_services_total
11,1,1,2,0,247.472222222222,2015,2,2,5,3.0,78.0,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1.0,31.0,12.0,2,60000.0,1,2,2,2,1,2,2,2,2,3,3,3,1,2,1,1,2,4,2,2,4,2,2,2.0,2,2,2,0,2,4,5.0,3,6,2,350000,300000,200000,1.0,200000.0,2,2,2,0.6,25.0,0.4,20.0,30.0,247.472222222222,2,75.5,74000.0,2.0,88513.17,128878.0,752.0
12,1,1,7,0,247.472222222222,2015,2,1,1,3.0,76.0,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1.0,31.0,24.0,3,120000.0,1,1,2,2,1,1,2,2,2,3,3,3,2,2,3,2,2,4,3,2,4,1,2,3.0,2,2,2,170000,1,4,6.0,2,2,2,700000,500000,300000,1.0,300000.0,2,2,2,2.0,60.0,1.2,40.0,40.0,247.472222222222,7,22.0,254000.0,3.0,127718.4,235343.0,750.0
13,1,1,9,0,247.472222222222,2015,2,1,1,3.0,110.0,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1.0,31.0,24.0,6,200000.0,1,1,2,2,2,2,2,2,2,3,3,3,2,2,3,1,2,4,2,2,4,2,2,2.0,2,2,2,0,2,4,3.0,4,6,2,2000,1500,800,3.0,380584.0,1,2,2,2.0,60.0,1.4,40.0,40.0,247.472222222222,9,22.555555555555557,490000.0,4.0,154845.6,297646.0,746.0
14,1,1,1,0,247.472222222222,2015,2,1,1,2.0,58.0,2,1,1,1,2,2,1,3,1,1,2,1,2,2,2,1,1.0,31.0,24.0,6,50000.0,1,2,2,2,1,1,2,2,2,3,3,3,2,2,3,1,2,3,2,2,4,2,2,1.0,2,2,2,0,2,4,5.0,3,2,2,250000,200000,130000,1.0,130000.0,2,2,2,0.4,20.0,0.4,20.0,20.0,247.472222222222,1,70.0,36000.0,1.0,65597.36,40766.0,754.0
15,1,1,3,0,247.472222222222,2015,2,2,1,1.0,36.0,2,1,1,1,2,2,1,1,1,1,2,1,1,2,2,1,1.0,31.0,12.0,2,80000.0,1,1,2,2,1,2,2,1,1,3,3,3,1,2,1,1,2,4,2,2,4,2,2,2.0,2,2,2,0,2,4,3.0,4,6,2,0,400000,200000,1.0,200000.0,2,2,2,1.0,35.0,1.0,30.0,40.0,247.472222222222,3,63.666666666666664,182000.0,3.0,99912.8,160623.0,750.0
16,1,1,4,0,247.472222222222,2015,2,1,1,3.0,78.0,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1.0,31.0,12.0,2,80000.0,1,2,2,2,1,1,2,2,2,3,3,3,1,2,1,1,2,4,2,2,4,2,2,2.0,1,1,2,150000,1,4,3.0,2,2,2,0,500000,200000,1.0,200000.0,2,2,2,0.7,30.0,0.7,20.0,30.0,247.472222222222,4,41.0,125000.0,2.0,106492.12,144597.0,746.0
17,1,1,1,0,247.472222222222,2015,2,2,1,1.0,36.0,2,1,1,1,2,2,1,1,1,1,2,1,2,2,2,1,1.0,31.0,12.0,2,80000.0,1,2,2,2,2,2,2,2,2,3,3,3,2,1,1,1,2,3,2,2,4,2,2,1.0,2,1,2,0,2,4,5.0,2,3,2,150000,100000,70000,1.0,70000.0,2,2,2,0.4,15.0,0.4,20.0,20.0,247.472222222222,1,76.0,41000.0,1.0,50374.119999999995,70910.0,753.0
18,1,1,5,0,247.472222222222,2015,2,2,1,3.0,64.0,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1.0,31.0,12.0,3,120000.0,1,1,2,2,1,2,2,2,2,3,3,3,1,2,1,1,2,3,2,2,4,2,2,2.0,2,2,2,650000,1,4,3.0,2,2,2,600000,500000,300000,1.0,300000.0,2,2,2,1.5,40.0,1.2,40.0,40.0,247.472222222222,5,40.4,448000.0,5.0,122969.98,2066617.0,744.0
19,1,1,1,0,164.703703703704,2015,2,2,1,3.0,76.0,2,1,1,1,2,2,1,1,1,1,2,1,1,2,2,1,1.0,31.0,24.0,3,100000.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,2,2,1.0,2,2,2,0,2,4,3.0,4,6,2,0,400000,0,,,2,2,2,0.3,10.0,0.1,,,164.703703703704,1,63.0,132000.0,2.0,70855.65,186080.0,752.0
20,1,1,3,0,164.703703703704,2015,2,2,1,3.0,76.0,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1.0,31.0,24.0,3,120000.0,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,2,2,1.0,2,2,2,0,2,4,3.0,4,6,2,0,0,0,,,2,2,2,1.0,30.0,1.0,,50.0,164.703703703704,3,41.333333333333336,240000.0,2.0,96891.5,183636.0,749.0
