marz,year,poverty_rate,extreme_poverty_rate,non_poor_rate,population,crime_selected_total,Number of minor offense,Number of moderately serious offense,Number of particulary serious offences,crime_total,Number of serious offences,Annual average occupancy of a bed,Number of ambulatory clinics in rural communities,Number of avarage medical personnel,beds,Number of hospitalized patients,hospitals,Number of physicians,"Number of primary health care (PHC) service providers (except OMCs, private medical and dental offices)",crime_rate_per_100k,crime_selected_rate_per_100k,hospitals_per_100k,beds_per_10k
Armavir,2020,32.2,2.3,67.8,263863.0,655.0,879.0,571.0,24.0,1707.0,233.0,185.0,52.0,838.0,365.0,12685.0,4.0,394.0,60.0,646.9266248015068,248.23487946396423,1.5159381951997817,13.83293603119801
Gegharkunik,2020,48.1,1.9,51.9,227632.0,229.0,511.0,382.0,8.0,1035.0,134.0,278.0,30.0,823.0,800.0,12158.0,7.0,361.0,40.0,454.68123989597245,100.6009699866451,3.0751388205524703,35.144443663456805
Lori,2020,19.0,0.2,81.0,213315.0,691.0,855.0,582.0,23.0,1797.0,337.0,236.0,18.0,1038.0,515.0,19329.0,7.0,535.0,40.0,842.4161451374727,323.9340880856949,3.281532006656822,24.142699763260904
Kotayk,2020,17.4,0.0,82.6,250908.0,1021.0,1031.0,737.0,15.0,2180.0,397.0,214.0,30.0,1030.0,478.0,13589.0,10.0,592.0,46.0,868.844357294307,406.9220590814163,3.985524574744528,19.050807467278844
Shirak,2020,42.9,2.2,57.1,231365.0,330.0,579.0,427.0,20.0,1259.0,233.0,148.0,12.0,1259.0,841.0,19328.0,15.0,557.0,32.0,544.1618222289457,142.6317723078253,6.483262377628423,36.34949106390336
Syunik,2020,6.1,0.0,93.9,137312.0,210.0,353.0,230.0,32.0,744.0,129.0,181.0,10.0,672.0,461.0,9914.0,7.0,244.0,17.0,541.831740852948,152.93637846655793,5.097879282218598,33.573176415753906
Vayots Dzor,2020,21.9,0.0,78.1,48508.0,55.0,97.0,79.0,1.0,203.0,26.0,103.0,5.0,205.0,85.0,1767.0,3.0,97.0,8.0,418.48767213655475,113.3833594458646,6.1845468788653415,17.522882823451802
Tavush,2020,37.5,0.7,62.5,121476.0,247.0,532.0,300.0,10.0,960.0,118.0,178.0,18.0,494.0,267.0,8444.0,7.0,252.0,27.0,790.2795613948434,203.3323454838816,5.762455135170733,21.979650301294082
Yerevan,2021,15.9,0.2,84.1,1091747.0,8400.0,9245.0,4440.0,202.0,16438.0,2551.0,289.0,,8963.0,8394.0,339097.0,56.0,10767.0,136.0,1505.6601941658644,769.4090297477346,5.129393531651564,76.88594518693434
Aragatsotn,2021,13.5,0.0,86.5,124446.0,280.0,474.0,259.0,5.0,838.0,100.0,221.0,16.0,526.0,172.0,6509.0,5.0,252.0,24.0,673.3844398373592,224.9971875351558,4.0178069202706395,13.821255805730999
Ararat,2021,28.0,1.0,72.0,256630.0,755.0,1194.0,519.0,19.0,1922.0,190.0,259.0,50.0,892.0,480.0,15915.0,5.0,454.0,59.0,748.9381599968827,294.1978724233332,1.9483302809492267,18.703970697112574
Armavir,2021,37.9,4.0,62.1,263944.0,676.0,923.0,643.0,30.0,1851.0,255.0,240.0,52.0,819.0,365.0,15242.0,4.0,401.0,59.0,701.285121086291,256.1149334707362,1.5154729791167822,13.828690934440639
Gegharkunik,2021,49.1,4.7,50.9,227269.0,271.0,621.0,500.0,2.0,1250.0,127.0,288.0,30.0,827.0,730.0,15359.0,7.0,358.0,40.0,550.0090201479304,119.24195556807132,3.080050512828411,32.12052677663914
Lori,2021,21.8,0.2,78.2,212566.0,766.0,958.0,666.0,24.0,1974.0,326.0,254.0,17.0,1034.0,589.0,22835.0,6.0,529.0,40.0,928.6527478524316,360.35866507343604,2.8226527290347465,27.7090409566911
Kotayk,2021,23.6,2.0,76.4,251177.0,1073.0,1266.0,766.0,20.0,2428.0,376.0,210.0,30.0,996.0,495.0,15023.0,10.0,610.0,45.0,966.6490164306445,427.1887951524224,3.9812562455957354,19.70721841569889
Shirak,2021,46.9,3.1,53.1,230963.0,294.0,667.0,456.0,10.0,1324.0,191.0,164.0,12.0,1209.0,757.0,20958.0,12.0,565.0,32.0,573.2519927434264,127.29311621341947,5.1956373964661005,32.775812576040316
