marz,year,poverty_rate,extreme_poverty_rate,non_poor_rate,population
Ararat,2015.0,27.3,1.3,72.7,
Armavir,2015.0,29.6,2.1,70.4,267002.0
Gegharkunik,2015.0,32.1,1.3,67.9,
Lori,2015.0,36.2,2.8,63.8,227999.0
Kotayk,2015.0,35.9,2.3,64.1,254990.0
Shirak,2015.0,45.3,3.9,54.7,246409.0
Syunik,2015.0,24.5,0.7,75.5,
Vayots Dzor,2015.0,16.9,1.0,83.1,51406.0
Tavush,2015.0,35.3,2.0,64.7,126677.0
Yerevan,2016.0,24.9,1.9,75.1,
Aragatsotn,2016.0,15.7,0.6,84.3,129774.0
Ararat,2016.0,26.9,1.0,73.1,
Armavir,2016.0,30.0,1.5,70.0,266613.0
Gegharkunik,2016.0,28.8,1.0,70.5,
Lori,2016.0,35.8,2.7,64.0,224954.0
Kotayk,2016.0,35.4,1.3,64.6,253898.0
Shirak,2016.0,45.5,3.7,54.5,243152.0
Syunik,2016.0,24.2,1.1,75.8,
Vayots Dzor,2016.0,18.8,1.2,81.2,50836.0
Tavush,2016.0,33.8,1.9,66.2,125514.0
Yerevan,2017.0,22.4,1.0,77.6,
Aragatsotn,2017.0,17.6,0.0,82.4,128518.0
Ararat,2017.0,21.7,1.6,78.3,
Armavir,2017.0,26.2,0.8,73.8,265759.0
Gegharkunik,2017.0,20.5,1.3,79.5,
Lori,2017.0,29.7,2.1,70.3,221098.0
Kotayk,2017.0,31.1,1.5,68.9,252830.0
Shirak,2017.0,44.3,4.7,55.7,239278.0
Syunik,2017.0,18.5,0.0,81.5,
Vayots Dzor,2017.0,16.9,0.0,83.1,50277.0
Tavush,2017.0,27.8,1.1,72.2,124475.0
Yerevan,2018.0,19.9,1.0,80.1,
Aragatsotn,2018.0,16.2,0.0,83.8,127146.0
Ararat,2018.0,19.8,0.0,80.2,
Armavir,2018.0,23.5,0.9,76.5,264617.0
Gegharkunik,2018.0,22.4,0.0,77.6,
Lori,2018.0,29.4,3.1,70.6,217363.0
Kotayk,2018.0,22.7,0.0,77.3,251598.0
Shirak,2018.0,42.2,2.6,57.8,235380.0
Syunik,2018.0,16.7,0.0,83.3,
Vayots Dzor,2018.0,18.6,1.6,81.4,49633.0
Tavush,2018.0,25.6,0.9,74.4,123493.0
Yerevan,2019.0,14.1,1.1,85.9,
Aragatsotn,2019.0,51.4,7.7,48.6,125440.0
Ararat,2019.0,29.4,0.5,70.6,
Armavir,2019.0,22.5,1.2,77.5,263900.0
Gegharkunik,2019.0,43.5,3.4,56.5,
Lori,2019.0,30.1,1.5,69.9,215471.0
Kotayk,2019.0,31.9,0.6,68.1,251609.0
Shirak,2019.0,48.4,1.7,51.6,233245.0
Syunik,2019.0,12.1,0.0,87.9,
Vayots Dzor,2019.0,19.3,0.0,80.7,48970.0
Tavush,2019.0,25.6,0.6,74.4,122242.0
Yerevan,2020.0,19.9,0.2,80.1,
Aragatsotn,2020.0,32.9,1.2,67.1,124721.0
Ararat,2020.0,32.8,0.1,67.2,
Armavir,2020.0,32.2,2.3,67.8,263863.0
Gegharkunik,2020.0,48.1,1.9,51.9,
Lori,2020.0,19.0,0.2,81.0,213315.0
Kotayk,2020.0,17.4,0.0,82.6,250908.0
Shirak,2020.0,42.9,2.2,57.1,231365.0
Syunik,2020.0,6.1,0.0,93.9,
Vayots Dzor,2020.0,21.9,0.0,78.1,48508.0
Tavush,2020.0,37.5,0.7,62.5,121476.0
Yerevan,2021.0,15.9,0.2,84.1,
Aragatsotn,2021.0,13.5,0.0,86.5,124446.0
