marz,year,poverty_rate,extreme_poverty_rate,non_poor_rate,population,crime_selected_total,Number of minor offense,Number of moderately serious offense,Number of particulary serious offences,crime_total,Number of serious offences,Annual average occupancy of a bed,Number of ambulatory clinics in rural communities,Number of avarage medical personnel,beds,Number of hospitalized patients,hospitals,Number of physicians,"Number of primary health care (PHC) service providers (except OMCs, private medical and dental offices)",crime_rate_per_100k,crime_selected_rate_per_100k,hospitals_per_100k,beds_per_10k,z_poverty,z_crime,z_hospitals,z_health_inverted,stress_index
Kotayk,2017,31.1,1.5,68.9,252830.0,674.0,877.0,560.0,8.0,1660.0,215.0,176.0,30.0,986.0,668.0,14075.0,11.0,502.0,47.0,656.5676541549658,266.5822884942451,4.350749515484713,26.420915239488988,0.38870284614983897,-0.14748986316091914,0.08622389647529036,-0.08622389647529036,0.09740601704116136
Shirak,2017,44.3,4.7,55.7,239278.0,331.0,701.0,443.0,11.0,1332.0,177.0,168.0,12.0,1316.0,845.0,19825.0,16.0,534.0,32.0,556.6746629443576,138.33281789383062,6.686782738070362,35.314571335434096,1.5924736347747508,-0.5107536710306876,1.6242234962704927,-1.6242234962704927,-0.3409472855336358
Syunik,2017,18.5,0.0,81.5,138953.0,181.0,334.0,194.0,6.0,612.0,78.0,206.0,10.0,743.0,429.0,10665.0,7.0,264.0,17.0,440.4366944218549,130.25987204306492,5.037674609400301,30.873748677610415,-0.7603510884466682,-0.9334564708247786,0.5384822416550196,-0.5384822416550196,-1.4029275433579225
Vayots Dzor,2017,16.9,0.0,83.1,50277.0,55.0,179.0,50.0,1.0,240.0,10.0,108.0,5.0,231.0,85.0,1734.0,3.0,105.0,8.0,477.35545080255383,109.39395747558528,5.966943135031923,16.906338882590447,-0.9062626991890819,-0.7992003247014378,1.1502948677365015,-1.1502948677365015,-1.7947586382657457
Tavush,2017,27.8,1.1,72.2,124475.0,155.0,330.0,293.0,5.0,679.0,51.0,135.0,18.0,533.0,257.0,7730.0,7.0,236.0,27.0,545.4910624623418,124.52299658565975,5.6236192006426995,20.646716208073908,0.08776014899361088,-0.5514231639306039,0.924256955010977,-0.924256955010977,-0.8722662949086549
Yerevan,2018,19.9,1.0,80.1,1077590.0,6347.0,7085.0,3742.0,125.0,13067.0,2115.0,254.0,,8490.0,7884.0,291402.0,52.0,9717.0,144.0,1212.6133316010728,588.9995267216659,4.82558301394779,73.16326246531612,-0.6326784290470564,1.8745866378093234,0.39884519121751144,-0.39884519121751144,0.5298399551926911
Aragatsotn,2018,16.2,0.0,83.8,127146.0,192.0,301.0,291.0,6.0,685.0,87.0,164.0,15.0,544.0,152.0,5231.0,6.0,228.0,23.0,538.7507275101065,151.0075031853145,4.718984474541078,11.954760668837398,-0.9700990288888878,-0.5759345907223434,0.32866275144689494,-0.32866275144689494,-1.1781907408702201
Ararat,2018,19.8,0.0,80.2,257804.0,484.0,758.0,475.0,14.0,1430.0,183.0,235.0,50.0,988.0,488.0,13396.0,6.0,439.0,61.0,554.684954461529,187.73952304851747,2.3273494592791426,18.929108935470357,-0.6417979047184571,-0.5179893045948005,-1.245944005325883,1.245944005325883,0.05414697595420469
Armavir,2018,23.5,0.9,76.5,264617.0,554.0,774.0,621.0,8.0,1601.0,198.0,189.0,52.0,894.0,355.0,12851.0,4.0,390.0,61.0,605.025376298575,209.3591870514744,1.5116186790720174,13.415615776764154,-0.3043773048766257,-0.33492487630332085,-1.7830055510989922,1.7830055510989922,0.7187834475724318
Gegharkunik,2018,22.4,0.0,77.6,229711.0,218.0,482.0,311.0,9.0,903.0,101.0,275.0,30.0,826.0,730.0,11091.0,7.0,339.0,40.0,393.1026376621059,94.90185493946744,3.047307268698495,31.779061516427166,-0.40469153726203516,-1.105588163870368,-0.7719375519712597,0.7719375519712597,-0.4640260135804714
Lori,2018,29.4,3.1,70.6,217363.0,461.0,782.0,625.0,13.0,1652.0,232.0,228.0,18.0,1083.0,481.0,17862.0,7.0,520.0,41.0,760.0189544678717,212.08761380731772,3.2204192985926765,22.12888118032968,0.23367175973602428,0.22871384067565514,-0.6579639020578864,0.6579639020578864,0.7041062386028764
Kotayk,2018,22.7,0.0,77.3,251598.0,904.0,1212.0,669.0,6.0,2179.0,292.0,230.0,30.0,1005.0,488.0,14435.0,10.0,536.0,47.0,866.0641181567421,359.30333309485763,3.974594392642231,19.39602063609409,-0.37733311024783256,0.6143502051586625,-0.1614294428690483,0.1614294428690483,0.25041176202793897
Shirak,2018,42.2,2.6,57.8,235380.0,324.0,613.0,475.0,13.0,1309.0,208.0,163.0,12.0,1304.0,830.0,20347.0,15.0,584.0,32.0,556.1220154643555,137.64975783838898,6.372673973999491,35.26212932279718,1.4009646456753333,-0.5127633898864572,1.4174202929759583,-1.4174202929759583,-0.33259837653291147
Syunik,2018,16.7,0.0,83.3,138397.0,210.0,294.0,219.0,24.0,649.0,112.0,180.0,10.0,723.0,428.0,9987.0,7.0,263.0,17.0,468.9408007399004,151.73739315158565,5.057913105052855,30.92552584232317,-0.9245016505318835,-0.829800447759185,0.5518068801546523,-0.5518068801546523,-1.4493206941606582
Vayots Dzor,2018,18.6,1.6,81.4,49633.0,56.0,152.0,80.0,,258.0,26.0,111.0,5.0,214.0,85.0,1889.0,3.0,105.0,8.0,519.8154453690086,112.82815868474604,6.044365643825681,17.125702657506096,-0.7512316127752672,-0.6447933025328791,1.2012683669096595,-1.2012683669096595,-1.6323213420988492
Tavush,2018,25.6,0.9,74.4,123493.0,212.0,429.0,421.0,6.0,945.0,89.0,156.0,18.0,524.0,232.0,7902.0,7.0,245.0,27.0,765.2255593434446,171.6696492918627,5.668337476618108,18.78648992250573,-0.11286831577720774,0.24764781282177165,0.9536986127274644,-0.9536986127274644,-0.5146662331642753
Yerevan,2019,14.1,1.1,85.9,1081874.0,7888.0,7939.0,4260.0,153.0,14961.0,2609.0,279.0,,8721.0,7563.0,306581.0,53.0,10170.0,138.0,1382.8782279637,729.1052377633625,4.898906896736588,69.90647709437513,-1.1616080179883055,2.493759953671259,0.44712023341052404,-0.44712023341052404,0.556216021480555
Aragatsotn,2019,51.4,7.7,48.6,125440.0,268.0,375.0,300.0,7.0,764.0,82.0,206.0,16.0,542.0,167.0,6642.0,6.0,239.0,24.0,609.0561224489796,213.64795918367344,4.783163265306122,13.31313775510204,2.239956407444211,-0.32026694908132664,0.3709168399408604,-0.3709168399408604,0.9733573857126631
Ararat,2019,29.4,0.5,70.6,256688.0,610.0,869.0,476.0,13.0,1590.0,232.0,243.0,50.0,986.0,488.0,16802.0,6.0,457.0,60.0,619.4290344698622,237.6425855513308,2.337468054603254,19.011406844106464,0.23367175973602428,-0.28254554867336934,-1.2392821156710143,1.2392821156710143,0.7481361195684171
Armavir,2019,22.5,1.2,77.5,263900.0,648.0,848.0,576.0,12.0,1677.0,241.0,223.0,52.0,890.0,355.0,14931.0,4.0,414.0,60.0,635.4679802955665,245.54755589238343,1.515725653656688,13.452065176203108,-0.3955720615906342,-0.22421944927187795,-1.780301597573622,1.780301597573622,0.7293459676767736
Gegharkunik,2019,43.5,3.4,56.5,228256.0,299.0,494.0,396.0,5.0,1066.0,171.0,276.0,30.0,814.0,730.0,11844.0,7.0,367.0,40.0,467.0194868919109,130.99327071358474,3.0667320902845927,31.98163465582504,1.519517829403544,-0.836787362217098,-0.7591486209163992,0.7591486209163992,0.9061779908915687
Lori,2019,30.1,1.5,69.9,215471.0,548.0,755.0,561.0,15.0,1578.0,247.0,251.0,18.0,1048.0,481.0,20404.0,7.0,532.0,41.0,732.34913282994,254.32656830849623,3.248697040436996,22.323189663574215,0.29750808943583046,0.12809171844807524,-0.6393463776069555,0.6393463776069555,0.6692869067443715
Kotayk,2019,31.9,0.6,68.1,251609.0,938.0,857.0,630.0,20.0,1929.0,422.0,242.0,30.0,1061.0,478.0,15131.0,10.0,594.0,47.0,766.6657393018533,372.8006549845196,3.974420628832831,18.997730605820937,0.4616586515210455,0.25288506970405117,-0.16154384563812374,0.16154384563812374,0.5505948992087537
Shirak,2019,48.4,1.7,51.6,233245.0,360.0,629.0,545.0,16.0,1421.0,231.0,165.0,12.0,1274.0,821.0,21522.0,15.0,578.0,32.0,609.230637312697,154.3441445690154,6.431006023708975,35.19903963643379,1.9663721373021856,-0.3196323206338694,1.4558249989711582,-1.4558249989711582,0.11998426730764863
Syunik,2019,12.1,0.0,87.9,137574.0,285.0,347.0,253.0,35.0,783.0,148.0,212.0,10.0,690.0,378.0,10536.0,7.0,244.0,17.0,569.1482402198089,207.1612368616163,5.088170729934435,27.47612194164595,-1.3439975314163226,-0.4653931394866379,0.5717279217343241,-0.5717279217343241,-1.496461998897311
Vayots Dzor,2019,19.3,0.0,80.7,48970.0,76.0,126.0,87.0,,239.0,26.0,127.0,5.0,214.0,85.0,2138.0,3.0,113.0,8.0,488.0539105574842,155.19705942413722,6.12619971411068,17.35756585664693,-0.6873952830754613,-0.7602950603598815,1.255146353802599,-1.255146353802599,-1.698652229732861
Tavush,2019,25.6,0.6,74.4,122242.0,226.0,446.0,306.0,8.0,842.0,82.0,172.0,18.0,532.0,232.0,8939.0,7.0,250.0,27.0,688.7976309288133,184.87917409728243,5.726346100358305,18.978747075473244,-0.11286831577720774,-0.030284602325975775,0.9918903812496361,-0.9918903812496361,-0.7133408515798605
Yerevan,2020,19.9,0.2,80.1,1084024.0,6794.0,7248.0,4247.0,141.0,13892.0,2256.0,250.0,,8938.0,8375.0,277101.0,55.0,10698.0,146.0,1281.5214423296902,626.7388913898585,5.073688405422758,77.25843708257382,-0.6326784290470564,2.1251730142209944,0.5621930362336761,-0.5621930362336761,0.5846667695633232
Aragatsotn,2020,32.9,1.2,67.1,124721.0,247.0,446.0,261.0,6.0,835.0,122.0,182.0,16.0,524.0,196.0,5638.0,5.0,233.0,24.0,669.4943113028279,198.04202981053712,4.008947971873221,15.715076049743026,0.552853408235054,-0.10048169330184424,-0.13881170327615244,0.13881170327615244,0.371541141404749
Ararat,2020,32.8,0.1,67.2,256570.0,608.0,1098.0,509.0,16.0,1856.0,233.0,248.0,50.0,923.0,488.0,14517.0,6.0,433.0,60.0,723.3893284483767,236.97236621584753,2.33854308765639,19.020150446271973,0.543733932563653,0.095509125635805,-1.238574334467603,1.238574334467603,1.1801522098411268
Armavir,2020,32.2,2.3,67.8,263863.0,655.0,879.0,571.0,24.0,1707.0,233.0,185.0,52.0,838.0,365.0,12685.0,4.0,394.0,60.0,646.9266248015068,248.23487946396423,1.5159381951997817,13.83293603119801,0.48901707853524845,-0.1825497506693212,-1.780161664286262,1.780161664286262,1.3113840705828315
Gegharkunik,2020,48.1,1.9,51.9,227632.0,229.0,511.0,382.0,8.0,1035.0,134.0,278.0,30.0,823.0,800.0,12158.0,7.0,361.0,40.0,454.68123989597245,100.6009699866451,3.0751388205524703,35.144443663456805,1.9390137102879834,-0.8816557612095026,-0.7536137904770998,0.7536137904770998,1.1381417110855783
Lori,2020,19.0,0.2,81.0,213315.0,691.0,855.0,582.0,23.0,1797.0,337.0,236.0,18.0,1038.0,515.0,19329.0,7.0,535.0,40.0,842.4161451374727,323.9340880856949,3.281532006656822,24.142699763260904,-0.7147537100896639,0.528353654016553,-0.6177284637788784,0.6177284637788784,0.2710770363023619
Kotayk,2020,17.4,0.0,82.6,250908.0,1021.0,1031.0,737.0,15.0,2180.0,397.0,214.0,30.0,1030.0,478.0,13589.0,10.0,592.0,46.0,868.844357294307,406.9220590814163,3.985524574744528,19.050807467278844,-0.8606653208320776,0.6244606267574215,-0.15423322000008827,0.15423322000008827,-0.051516625978012875
Shirak,2020,42.9,2.2,57.1,231365.0,330.0,579.0,427.0,20.0,1259.0,233.0,148.0,12.0,1259.0,841.0,19328.0,15.0,557.0,32.0,544.1618222289457,142.6317723078253,6.483262377628423,36.34949106390336,1.464800975375139,-0.5562569852318315,1.4902295830489087,-1.4902295830489087,-0.36557204155260764
Syunik,2020,6.1,0.0,93.9,137312.0,210.0,353.0,230.0,32.0,744.0,129.0,181.0,10.0,672.0,461.0,9914.0,7.0,244.0,17.0,541.831740852948,152.93637846655793,5.097879282218598,33.573176415753906,-1.8911660717003733,-0.564730394857806,0.578119846893293,-0.578119846893293,-1.906788738349187
Vayots Dzor,2020,21.9,0.0,78.1,48508.0,55.0,97.0,79.0,1.0,203.0,26.0,103.0,5.0,205.0,85.0,1767.0,3.0,97.0,8.0,418.4876721365547,113.3833594458646,6.1845468788653415,17.522882823451802,-0.45028891561903944,-1.0132747375294584,1.2935610112544857,-1.2935610112544857,-1.732770597508021
Tavush,2020,37.5,0.7,62.5,121476.0,247.0,532.0,300.0,10.0,960.0,118.0,178.0,18.0,494.0,267.0,8444.0,7.0,252.0,27.0,790.2795613948434,203.3323454838816,5.762455135170733,21.97965030129408,0.9723492891194933,0.33875742999581027,1.0156638792262769,-1.0156638792262769,0.18567701084159227
Yerevan,2021,15.9,0.2,84.1,1091747.0,8400.0,9245.0,4440.0,202.0,16438.0,2551.0,289.0,,8963.0,8394.0,339097.0,56.0,10767.0,136.0,1505.6601941658644,769.4090297477346,5.129393531651564,76.88594518693434,-0.9974574559030902,2.9402601939763953,0.5988682260460947,-0.5988682260460947,0.8446227468358934
Aragatsotn,2021,13.5,0.0,86.5,124446.0,280.0,474.0,259.0,5.0,838.0,100.0,221.0,16.0,526.0,172.0,6509.0,5.0,252.0,24.0,673.3844398373592,224.9971875351558,4.0178069202706395,13.821255805731,-1.2163248720167106,-0.08633512618606633,-0.13297914106851613,0.13297914106851613,-0.7351095232935723
