marz,year,poverty_rate,extreme_poverty_rate,non_poor_rate,population,crime_selected_total,Number of minor offense,Number of moderately serious offense,Number of particulary serious offences,crime_total,Number of serious offences,Annual average occupancy of a bed,Number of ambulatory clinics in rural communities,Number of avarage medical personnel,beds,Number of hospitalized patients,hospitals,Number of physicians,"Number of primary health care (PHC) service providers (except OMCs, private medical and dental offices)",crime_rate_per_100k,crime_selected_rate_per_100k,hospitals_per_100k,beds_per_10k
Yerevan,2013,25.5,2.1,74.5,1066264.0,,,,,,,251.0,,9057.0,7592.0,255576.0,54.0,8960.0,147.0,,,5.064411815460336,71.20187870921272
Aragatsotn,2013,22.7,1.1,77.3,133070.0,,,,,,,145.0,16.0,689.0,210.0,5801.0,6.0,236.0,24.0,,,4.508905087547907,15.781167806417674
Ararat,2013,32.4,1.7,67.6,261335.0,,,,,,,210.0,49.0,1094.0,563.0,13653.0,7.0,477.0,59.0,,,2.678554345954426,21.5432299538906
Armavir,2013,31.3,3.3,68.7,267101.0,,,,,,,205.0,52.0,1097.0,335.0,12536.0,4.0,409.0,61.0,,,1.497560847769196,12.542072100067015
Gegharkunik,2013,35.8,2.4,64.2,235587.0,,,,,,,286.0,31.0,984.0,750.0,11821.0,7.0,337.0,41.0,,,2.971301472492115,31.83537291955838
Lori,2013,38.6,2.6,61.4,234663.0,,,,,,,230.0,20.0,1238.0,491.0,17366.0,9.0,525.0,45.0,,,3.8352871990897586,20.92362238614524
Kotayk,2013,42.5,5.1,67.5,255353.0,,,,,,,222.0,30.0,1155.0,658.0,15643.0,9.0,525.0,45.0,,,3.524532705705435,25.768250226157512
Shirak,2013,45.9,4.0,54.1,251267.0,,,,,,,182.0,11.0,1462.0,881.0,21764.0,17.0,570.0,32.0,,,6.765711374752753,35.06230424210103
Syunik,2013,25.2,1.8,74.8,141645.0,,,,,,,221.0,18.0,795.0,420.0,10443.0,6.0,283.0,26.0,,,4.235941967595044,29.651593773165306
Vayots Dzor,2013,21.0,0.7,79.0,52252.0,,,,,,,99.0,5.0,266.0,95.0,1814.0,3.0,108.0,8.0,,,5.741407027482202,18.181122253693637
Tavush,2013,27.7,2.5,72.3,128342.0,,,,,,,135.0,18.0,589.0,273.0,6652.0,7.0,234.0,26.0,,,5.454177120506147,21.271290769973977
Yerevan,2014,25.2,2.0,74.8,1068306.0,,,,,,,261.0,,8959.0,7835.0,279491.0,55.0,9215.0,150.0,,,5.148337648576344,73.34040995744665
Aragatsotn,2014,18.7,0.5,81.3,132305.0,,,,,,,156.0,16.0,660.0,210.0,6049.0,6.0,230.0,24.0,,,4.534976002418654,15.872416008465288
Ararat,2014,28.5,1.6,71.5,260787.0,,,,,,,233.0,49.0,1035.0,538.0,15188.0,7.0,471.0,59.0,,,2.6841828772139715,20.629862684873093
Armavir,2014,29.0,2.9,71.0,267187.0,,,,,,,206.0,52.0,1057.0,377.0,13808.0,4.0,403.0,61.0,,,1.4970788249428304,14.109967925086176
Gegharkunik,2014,32.3,2.1,67.7,234079.0,,,,,,,288.0,30.0,962.0,750.0,12541.0,7.0,331.0,40.0,,,2.9904433973145816,32.040464971227664
Lori,2014,36.4,3.0,63.6,230760.0,,,,,,,256.0,21.0,1205.0,486.0,19024.0,8.0,527.0,45.0,,,3.4668053388802216,21.06084243369735
Kotayk,2014,37.2,2.9,62.8,254997.0,,,,,,,203.0,30.0,1110.0,658.0,16512.0,9.0,533.0,45.0,,,3.5294532876857376,25.804225147746834
Shirak,2014,44.2,3.8,55.8,248381.0,,,,,,,193.0,11.0,1437.0,878.0,23022.0,17.0,559.0,33.0,,,6.844323841195582,35.348919603351305
