marz,year,poverty_rate,extreme_poverty_rate,non_poor_rate
Vayots Dzor,2015.0,16.9,1.0,83.1
Tavush,2015.0,35.3,2.0,64.7
Yerevan,2016.0,24.9,1.9,75.1
Aragatsotn,2016.0,15.7,0.6,84.3
Ararat,2016.0,26.9,1.0,73.1
Armavir,2016.0,30.0,1.5,70.0
Gegharkunik,2016.0,28.8,1.0,70.5
Lori,2016.0,35.8,2.7,64.0
Kotayk,2016.0,35.4,1.3,64.6
Shirak,2016.0,45.5,3.7,54.5
Syunik,2016.0,24.2,1.1,75.8
Vayots Dzor,2016.0,18.8,1.2,81.2
Tavush,2016.0,33.8,1.9,66.2
Yerevan,2017.0,22.4,1.0,77.6
Aragatsotn,2017.0,17.6,0.0,82.4
Ararat,2017.0,21.7,1.6,78.3
Armavir,2017.0,26.2,0.8,73.8
Gegharkunik,2017.0,20.5,1.3,79.5
Lori,2017.0,29.7,2.1,70.3
Kotayk,2017.0,31.1,1.5,68.9
Shirak,2017.0,44.3,4.7,55.7
Syunik,2017.0,18.5,0.0,81.5
Vayots Dzor,2017.0,16.9,0.0,83.1
Tavush,2017.0,27.8,1.1,72.2
Yerevan,2018.0,19.9,1.0,80.1
Aragatsotn,2018.0,16.2,0.0,83.8
Ararat,2018.0,19.8,0.0,80.2
Armavir,2018.0,23.5,0.9,76.5
Gegharkunik,2018.0,22.4,0.0,77.6
Lori,2018.0,29.4,3.1,70.6
Kotayk,2018.0,22.7,0.0,77.3
Shirak,2018.0,42.2,2.6,57.8
Syunik,2018.0,16.7,0.0,83.3
Vayots Dzor,2018.0,18.6,1.6,81.4
Tavush,2018.0,25.6,0.9,74.4
Yerevan,2019.0,14.1,1.1,85.9
Aragatsotn,2019.0,51.4,7.7,48.6
Ararat,2019.0,29.4,0.5,70.6
Armavir,2019.0,22.5,1.2,77.5
Gegharkunik,2019.0,43.5,3.4,56.5
Lori,2019.0,30.1,1.5,69.9
Kotayk,2019.0,31.9,0.6,68.1
Shirak,2019.0,48.4,1.7,51.6
Syunik,2019.0,12.1,0.0,87.9
Vayots Dzor,2019.0,19.3,0.0,80.7
Tavush,2019.0,25.6,0.6,74.4
Yerevan,2020.0,19.9,0.2,80.1
Aragatsotn,2020.0,32.9,1.2,67.1
Ararat,2020.0,32.8,0.1,67.2
Armavir,2020.0,32.2,2.3,67.8
Gegharkunik,2020.0,48.1,1.9,51.9
Lori,2020.0,19.0,0.2,81.0
Kotayk,2020.0,17.4,0.0,82.6
Shirak,2020.0,42.9,2.2,57.1
Syunik,2020.0,6.1,0.0,93.9
Vayots Dzor,2020.0,21.9,0.0,78.1
Tavush,2020.0,37.5,0.7,62.5
Yerevan,2021.0,15.9,0.2,84.1
Aragatsotn,2021.0,13.5,0.0,86.5
Ararat,2021.0,28.0,1.0,72.0
Armavir,2021.0,37.9,4.0,62.1
Gegharkunik,2021.0,49.1,4.7,50.9
Lori,2021.0,21.8,0.2,78.2
Kotayk,2021.0,23.6,2.0,76.4
Shirak,2021.0,46.9,3.1,53.1
Syunik,2021.0,2.8,0.0,97.2
Vayots Dzor,2021.0,26.6,0.0,73.4
Tavush,2021.0,38.2,1.3,61.8
Yerevan,2022.0,18.5,0.2,81.5
Aragatsotn,2022.0,7.9,0.0,92.1
Ararat,2022.0,23.8,1.0,76.2
Armavir,2022.0,40.8,4.0,59.2
Gegharkunik,2022.0,33.9,4.7,66.1
Lori,2022.0,18.6,0.2,81.4
Kotayk,2022.0,26.1,2.0,73.9
Shirak,2022.0,41.6,3.1,58.4
Syunik,2022.0,5.4,0.0,94.6
Vayots Dzor,2022.0,15.7,0.0,84.3
Tavush,2022.0,37.4,1.3,62.6
Yerevan,2023.0,17.9,0.2,82.1
Aragatsotn,2023.0,9.2,0.0,90.8
Ararat,2023.0,30.3,1.8,69.7
Armavir,2023.0,25.9,1.6,74.1
Gegharkunik,2023.0,35.4,3.1,64.6
Lori,2023.0,14.2,0.3,85.8
Kotayk,2023.0,23.2,0.0,76.8
Shirak,2023.0,43.1,4.0,56.9
Syunik,2023.0,7.0,0.0,93.0
Vayots Dzor,2023.0,30.9,0.4,69.1
Tavush,2023.0,37.2,2.6,62.8
Yerevan,2024.0,16.9,0.4,83.1
Aragatsotn,2024.0,7.6,0.0,92.4
Ararat,2024.0,15.7,0.0,84.3
Armavir,2024.0,27.0,0.6,73.0
Gegharkunik,2024.0,27.6,0.4,72.4
Lori,2024.0,20.4,1.0,79.6
Kotayk,2024.0,24.8,0.3,75.2
Shirak,2024.0,43.0,2.4,57.0
Syunik,2024.0,6.2,0.0,93.8
Vayots Dzor,2024.0,30.3,0.0,69.7
Tavush,2024.0,39.9,2.0,60.1
