Unnamed: 0,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Kotayk,44,44,45,45,46,47,47,47,47,46,45,45,45,47
Shirak,32,32,32,33,32,32,32,32,32,32,32,33,32,31
Syunik,27,26,26,18,18,17,17,17,17,17,17,16,16,16
Vayots Dzor,9,9,8,8,8,8,8,8,8,8,8,8,8,9
Tavush,26,27,26,26,26,27,27,27,27,27,27,28,27,27
Total RA,506,513,514,509,504,505,501,501,494,500,487,473,466,438
Number of ambulatory clinics in rural communities,,,,,,,,,,,,,,
Yerevan city,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aragatsotn,16,16,16,16,16,16,15,15,16,16,16,16,16,16
Ararat,49,49,49,49,49,50,50,50,50,50,50,50,50,50
Armavir,51,52,52,52,52,52,52,52,52,52,52,52,52,22
Gegharkunik,31,31,31,30,30,30,30,30,30,30,30,30,30,30
Lori,19,19,20,21,21,17,18,18,18,18,17,17,17,17
Kotayk,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Shirak,11,11,11,11,11,12,12,12,12,12,12,12,12,12
Syunik,19,18,18,10,10,10,10,10,10,10,10,9,9,9
Vayots Dzor,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Tavush,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Total RA,249,249,250,242,242,240,240,240,241,241,240,239,239,209
