category,marz,year,value
Hooliganism,Kotayk,2023,27.0
Hooliganism,Kotayk,2024,35.0
Hooliganism,Shirak,2016,11.0
Hooliganism,Shirak,2017,14.0
Hooliganism,Shirak,2018,11.0
Hooliganism,Shirak,2019,11.0
Hooliganism,Shirak,2020,14.0
Hooliganism,Shirak,2021,10.0
Hooliganism,Shirak,2022,28.0
Hooliganism,Shirak,2023,45.0
Hooliganism,Shirak,2024,52.0
Hooliganism,Syunik,2016,5.0
Hooliganism,Syunik,2017,10.0
Hooliganism,Syunik,2018,4.0
Hooliganism,Syunik,2019,3.0
Hooliganism,Syunik,2020,6.0
Hooliganism,Syunik,2021,10.0
Hooliganism,Syunik,2022,5.0
Hooliganism,Syunik,2023,13.0
Hooliganism,Syunik,2024,17.0
Hooliganism,Vayots Dzor,2016,5.0
Hooliganism,Vayots Dzor,2017,1.0
Hooliganism,Vayots Dzor,2018,3.0
Hooliganism,Vayots Dzor,2019,4.0
Hooliganism,Vayots Dzor,2020,6.0
Hooliganism,Vayots Dzor,2021,
Hooliganism,Vayots Dzor,2022,1.0
Hooliganism,Vayots Dzor,2023,8.0
Hooliganism,Vayots Dzor,2024,7.0
Hooliganism,Tavush,2016,4.0
Hooliganism,Tavush,2017,3.0
Hooliganism,Tavush,2018,5.0
Hooliganism,Tavush,2019,4.0
Hooliganism,Tavush,2020,8.0
Hooliganism,Tavush,2021,3.0
Hooliganism,Tavush,2022,7.0
Hooliganism,Tavush,2023,21.0
Hooliganism,Tavush,2024,27.0
Hooliganism,Total Ra,2016,195.0
Hooliganism,Total Ra,2017,202.0
Hooliganism,Total Ra,2018,234.0
Hooliganism,Total Ra,2019,326.0
Hooliganism,Total Ra,2020,338.0
Hooliganism,Total Ra,2021,322.0
Hooliganism,Total Ra,2022,453.0
Hooliganism,Total Ra,2023,600.0
Hooliganism,Total Ra,2024,703.0
Related to drugs,Yerevan,2016,478.0
Related to drugs,Yerevan,2017,739.0
Related to drugs,Yerevan,2018,506.0
Related to drugs,Yerevan,2019,567.0
Related to drugs,Yerevan,2020,713.0
Related to drugs,Yerevan,2021,920.0
Related to drugs,Yerevan,2022,1307.0
Related to drugs,Yerevan,2023,2986.0
Related to drugs,Yerevan,2024,1768.0
Related to drugs,Aragatsotn,2016,36.0
Related to drugs,Aragatsotn,2017,36.0
Related to drugs,Aragatsotn,2018,17.0
Related to drugs,Aragatsotn,2019,16.0
Related to drugs,Aragatsotn,2020,20.0
Related to drugs,Aragatsotn,2021,36.0
Related to drugs,Aragatsotn,2022,78.0
Related to drugs,Aragatsotn,2023,169.0
Related to drugs,Aragatsotn,2024,166.0
Related to drugs,Ararat,2016,71.0
Related to drugs,Ararat,2017,54.0
Related to drugs,Ararat,2018,28.0
Related to drugs,Ararat,2019,51.0
Related to drugs,Ararat,2020,77.0
Related to drugs,Ararat,2021,111.0
Related to drugs,Ararat,2022,138.0
Related to drugs,Ararat,2023,208.0
Related to drugs,Ararat,2024,131.0
Related to drugs,Armavir,2016,69.0
Related to drugs,Armavir,2017,78.0
Related to drugs,Armavir,2018,42.0
Related to drugs,Armavir,2019,86.0
Related to drugs,Armavir,2020,117.0
Related to drugs,Armavir,2021,154.0
Related to drugs,Armavir,2022,234.0
Related to drugs,Armavir,2023,678.0
Related to drugs,Armavir,2024,591.0
Related to drugs,Gegharkunik,2016,26.0
Related to drugs,Gegharkunik,2017,43.0
Related to drugs,Gegharkunik,2018,21.0
Related to drugs,Gegharkunik,2019,32.0
Related to drugs,Gegharkunik,2020,31.0
Related to drugs,Gegharkunik,2021,44.0
Related to drugs,Gegharkunik,2022,49.0
Related to drugs,Gegharkunik,2023,87.0
Related to drugs,Gegharkunik,2024,48.0
Related to drugs,Lori,2016,58.0
Related to drugs,Lori,2017,58.0
Related to drugs,Lori,2018,51.0
Related to drugs,Lori,2019,61.0
Related to drugs,Lori,2020,58.0
Related to drugs,Lori,2021,74.0
Related to drugs,Lori,2022,98.0
Related to drugs,Lori,2023,170.0
Related to drugs,Lori,2024,127.0
Related to drugs,Kotayk,2016,85.0
Related to drugs,Kotayk,2017,85.0
Related to drugs,Kotayk,2018,47.0
Related to drugs,Kotayk,2019,46.0
Related to drugs,Kotayk,2020,52.0
Related to drugs,Kotayk,2021,60.0
Related to drugs,Kotayk,2022,70.0
Related to drugs,Kotayk,2023,195.0
Related to drugs,Kotayk,2024,156.0
Related to drugs,Shirak,2016,87.0
Related to drugs,Shirak,2017,87.0
Related to drugs,Shirak,2018,75.0
Related to drugs,Shirak,2019,80.0
Related to drugs,Shirak,2020,64.0
Related to drugs,Shirak,2021,72.0
Related to drugs,Shirak,2022,133.0
Related to drugs,Shirak,2023,344.0
Related to drugs,Shirak,2024,395.0
Related to drugs,Syunik,2016,65.0
Related to drugs,Syunik,2017,56.0
Related to drugs,Syunik,2018,63.0
Related to drugs,Syunik,2019,121.0
Related to drugs,Syunik,2020,61.0
Related to drugs,Syunik,2021,44.0
Related to drugs,Syunik,2022,121.0
Related to drugs,Syunik,2023,149.0
Related to drugs,Syunik,2024,170.0
Related to drugs,Vayots Dzor,2016,6.0
Related to drugs,Vayots Dzor,2017,6.0
Related to drugs,Vayots Dzor,2018,8.0
Related to drugs,Vayots Dzor,2019,7.0
Related to drugs,Vayots Dzor,2020,5.0
Related to drugs,Vayots Dzor,2021,11.0
Related to drugs,Vayots Dzor,2022,16.0
Related to drugs,Vayots Dzor,2023,29.0
Related to drugs,Vayots Dzor,2024,54.0
Related to drugs,Tavush,2016,27.0
Related to drugs,Tavush,2017,29.0
Related to drugs,Tavush,2018,19.0
Related to drugs,Tavush,2019,21.0
Related to drugs,Tavush,2020,28.0
Related to drugs,Tavush,2021,18.0
Related to drugs,Tavush,2022,24.0
Related to drugs,Tavush,2023,55.0
Related to drugs,Tavush,2024,33.0
Related to drugs,Total Ra,2016,1008.0
Related to drugs,Total Ra,2017,1271.0
Related to drugs,Total Ra,2018,877.0
Related to drugs,Total Ra,2019,1088.0
Related to drugs,Total Ra,2020,1226.0
Related to drugs,Total Ra,2021,1544.0
Related to drugs,Total Ra,2022,2268.0
Related to drugs,Total Ra,2023,5070.0
Related to drugs,Total Ra,2024,3639.0
