category,marz,year,value
Number of minor offense,Ararat,2016,647.0
Number of minor offense,Ararat,2017,707.0
Number of minor offense,Ararat,2018,758.0
Number of minor offense,Ararat,2019,869.0
Number of minor offense,Ararat,2020,1098.0
Number of minor offense,Ararat,2021,1194.0
Number of minor offense,Ararat,2022,1279.0
Number of minor offense,Ararat,2023,1342.0
Number of minor offense,Ararat,2024,1464.0
Number of minor offense,Armavir,2016,651.0
Number of minor offense,Armavir,2017,671.0
Number of minor offense,Armavir,2018,774.0
Number of minor offense,Armavir,2019,848.0
Number of minor offense,Armavir,2020,879.0
Number of minor offense,Armavir,2021,923.0
Number of minor offense,Armavir,2022,1026.0
Number of minor offense,Armavir,2023,1462.0
Number of minor offense,Armavir,2024,1977.0
Number of minor offense,Gegharkunik,2016,414.0
Number of minor offense,Gegharkunik,2017,400.0
Number of minor offense,Gegharkunik,2018,482.0
Number of minor offense,Gegharkunik,2019,494.0
Number of minor offense,Gegharkunik,2020,511.0
Number of minor offense,Gegharkunik,2021,621.0
Number of minor offense,Gegharkunik,2022,628.0
Number of minor offense,Gegharkunik,2023,793.0
Number of minor offense,Gegharkunik,2024,703.0
Number of minor offense,Lori,2016,747.0
Number of minor offense,Lori,2017,793.0
Number of minor offense,Lori,2018,782.0
Number of minor offense,Lori,2019,755.0
Number of minor offense,Lori,2020,855.0
Number of minor offense,Lori,2021,958.0
Number of minor offense,Lori,2022,1388.0
Number of minor offense,Lori,2023,1238.0
Number of minor offense,Lori,2024,1212.0
Number of minor offense,Kotayk,2016,755.0
Number of minor offense,Kotayk,2017,877.0
Number of minor offense,Kotayk,2018,1212.0
Number of minor offense,Kotayk,2019,857.0
Number of minor offense,Kotayk,2020,1031.0
Number of minor offense,Kotayk,2021,1266.0
Number of minor offense,Kotayk,2022,1275.0
Number of minor offense,Kotayk,2023,1588.0
Number of minor offense,Kotayk,2024,1881.0
Number of minor offense,Shirak,2016,555.0
Number of minor offense,Shirak,2017,701.0
Number of minor offense,Shirak,2018,613.0
Number of minor offense,Shirak,2019,629.0
Number of minor offense,Shirak,2020,579.0
Number of minor offense,Shirak,2021,667.0
Number of minor offense,Shirak,2022,924.0
Number of minor offense,Shirak,2023,1272.0
Number of minor offense,Shirak,2024,1376.0
Number of minor offense,Syunik,2016,327.0
Number of minor offense,Syunik,2017,334.0
Number of minor offense,Syunik,2018,294.0
Number of minor offense,Syunik,2019,347.0
Number of minor offense,Syunik,2020,353.0
Number of minor offense,Syunik,2021,480.0
Number of minor offense,Syunik,2022,415.0
Number of minor offense,Syunik,2023,434.0
Number of minor offense,Syunik,2024,664.0
Number of minor offense,Vayots Dzor,2016,122.0
Number of minor offense,Vayots Dzor,2017,179.0
Number of minor offense,Vayots Dzor,2018,152.0
Number of minor offense,Vayots Dzor,2019,126.0
Number of minor offense,Vayots Dzor,2020,97.0
